epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.589,2.00198,2.79238,1.94768,0.46597,0.43676,0.41905,0.16684,2.19788,2.32143,2.27093,0.000415737,0.000415737,0.000415737
2,312.685,2.16129,2.6992,2.16721,0.47693,0.44289,0.41041,0.15564,2.02236,3.12458,2.11077,0.000815922,0.000815922,0.000815922
3,452.742,2.08768,2.56672,2.11809,0.50197,0.46774,0.47974,0.20285,1.93114,2.19206,2.11689,0.00119961,0.00119961,0.00119961
4,592.491,1.98951,2.30098,2.03621,0.60701,0.55484,0.57436,0.24907,1.84888,1.86413,2.01854,0.00117575,0.00117575,0.00117575
5,740.443,1.89995,2.09398,1.95726,0.61744,0.54731,0.6066,0.2798,1.8051,2.43954,1.98232,0.001151,0.001151,0.001151
6,147.22,1.83789,1.89312,1.89938,0.72879,0.65328,0.73225,0.36201,1.66098,1.48301,1.85898,0.00112625,0.00112625,0.00112625
7,282.54,1.77198,1.71612,1.84513,0.87947,0.74789,0.84798,0.42584,1.67396,1.12926,1.83246,0.0011015,0.0011015,0.0011015
8,418.179,1.71431,1.5839,1.79188,0.88241,0.79704,0.8811,0.45389,1.60051,1.03143,1.77077,0.00107675,0.00107675,0.00107675
9,565.216,1.66856,1.48808,1.75742,0.86985,0.82215,0.90003,0.48042,1.55355,0.9567,1.73267,0.001052,0.001052,0.001052
10,708.904,1.62942,1.42849,1.71885,0.88534,0.80598,0.8859,0.47605,1.5661,0.94734,1.72557,0.00102725,0.00102725,0.00102725
11,852.071,1.62087,1.36916,1.70496,0.89619,0.79294,0.89157,0.46898,1.58563,0.9312,1.75391,0.0010025,0.0010025,0.0010025
12,990.598,1.58457,1.31361,1.67646,0.85012,0.83092,0.9079,0.49105,1.54221,0.86164,1.70695,0.00097775,0.00097775,0.00097775
13,1135.42,1.55518,1.27318,1.65382,0.87313,0.8376,0.92063,0.49581,1.46786,0.85701,1.65852,0.000953,0.000953,0.000953
14,1277.68,1.52825,1.21259,1.63057,0.87159,0.82084,0.90015,0.49617,1.51214,0.84611,1.68724,0.00092825,0.00092825,0.00092825
15,1421.34,1.51575,1.18891,1.62345,0.89689,0.83249,0.91773,0.53048,1.45265,0.79312,1.64149,0.0009035,0.0009035,0.0009035
16,1565.44,1.48853,1.13973,1.59082,0.93479,0.82963,0.93338,0.52045,1.47238,0.79273,1.66576,0.00087875,0.00087875,0.00087875
17,1709.68,1.45493,1.08661,1.5657,0.91412,0.86197,0.92639,0.53175,1.46269,0.75459,1.64433,0.000854,0.000854,0.000854
18,1853.35,1.45267,1.06613,1.56343,0.92382,0.87096,0.94053,0.54678,1.4473,0.70424,1.62432,0.00082925,0.00082925,0.00082925
19,1995.57,1.41883,1.02636,1.53689,0.93468,0.89793,0.95286,0.54866,1.44199,0.69495,1.62296,0.0008045,0.0008045,0.0008045
20,2138.07,1.38808,1.00415,1.51333,0.91814,0.88101,0.93768,0.54351,1.4664,0.67429,1.66112,0.00077975,0.00077975,0.00077975
21,2281.49,1.3783,0.98235,1.50078,0.9408,0.87235,0.94312,0.5469,1.44122,0.71962,1.61549,0.000755,0.000755,0.000755
22,2421.18,1.34073,0.94292,1.47149,0.95208,0.88434,0.95566,0.55941,1.39532,0.66153,1.59499,0.00073025,0.00073025,0.00073025
23,2555.4,1.33348,0.93355,1.46061,0.9449,0.91451,0.96006,0.56491,1.38552,0.61642,1.60474,0.0007055,0.0007055,0.0007055
24,2688.48,1.31823,0.9054,1.45766,0.97396,0.89992,0.96506,0.57247,1.4003,0.61837,1.61053,0.00068075,0.00068075,0.00068075
25,2823.28,1.29626,0.87917,1.43153,0.95442,0.89951,0.95804,0.57497,1.39212,0.61249,1.59342,0.000656,0.000656,0.000656
26,2957.61,1.27511,0.878,1.41974,0.93752,0.90597,0.95567,0.56381,1.3919,0.60561,1.59499,0.00063125,0.00063125,0.00063125
27,3092.21,1.2559,0.84167,1.3976,0.96538,0.91538,0.96723,0.57948,1.37296,0.58072,1.57535,0.0006065,0.0006065,0.0006065
28,3227.18,1.23371,0.83268,1.38886,0.95948,0.93697,0.97163,0.58659,1.35919,0.56766,1.56709,0.00058175,0.00058175,0.00058175
29,3361.75,1.21494,0.79897,1.37648,0.95719,0.90996,0.95917,0.57622,1.37805,0.58118,1.58118,0.000557,0.000557,0.000557
30,3496.27,1.20018,0.78167,1.36267,0.95895,0.91978,0.95705,0.59211,1.34547,0.55334,1.55436,0.00053225,0.00053225,0.00053225
31,3631.52,1.18283,0.76053,1.34171,0.94943,0.92328,0.96118,0.57639,1.36624,0.5633,1.58102,0.0005075,0.0005075,0.0005075
32,3765.46,1.16276,0.74405,1.33624,0.96207,0.91727,0.96955,0.58988,1.34918,0.56167,1.57105,0.00048275,0.00048275,0.00048275
33,3900.09,1.14267,0.72355,1.31596,0.95674,0.92545,0.96139,0.59525,1.34039,0.53838,1.57868,0.000458,0.000458,0.000458
34,4035.11,1.13009,0.70511,1.31122,0.96211,0.93001,0.96596,0.5956,1.35037,0.54808,1.56951,0.00043325,0.00043325,0.00043325
35,4170.31,1.1149,0.69252,1.29752,0.96146,0.93203,0.95965,0.59572,1.34107,0.55017,1.56697,0.0004085,0.0004085,0.0004085
36,4305.47,1.08999,0.67314,1.28175,0.94402,0.9312,0.95449,0.59831,1.32174,0.53406,1.56184,0.00038375,0.00038375,0.00038375
37,4440.38,1.072,0.6675,1.26695,0.95282,0.93831,0.96176,0.59793,1.33575,0.53252,1.57784,0.000359,0.000359,0.000359
38,4574.17,1.06135,0.65397,1.25506,0.96146,0.93843,0.96825,0.60304,1.33583,0.50423,1.57179,0.00033425,0.00033425,0.00033425
39,4709.14,1.03294,0.63149,1.23823,0.97076,0.93369,0.96579,0.59562,1.34669,0.51287,1.58661,0.0003095,0.0003095,0.0003095
40,4843.48,1.01564,0.62126,1.22129,0.96561,0.92676,0.95935,0.60101,1.32626,0.51597,1.58266,0.00028475,0.00028475,0.00028475
41,141.328,0.95253,0.48029,1.24236,0.95471,0.92927,0.95849,0.60277,1.32438,0.5173,1.58549,0.00026,0.00026,0.00026
42,274.251,0.9076,0.45897,1.21253,0.97723,0.9265,0.96492,0.60098,1.31434,0.52492,1.58614,0.00023525,0.00023525,0.00023525
43,406.825,0.8927,0.4441,1.20385,0.98107,0.921,0.96376,0.60069,1.33173,0.50927,1.60097,0.0002105,0.0002105,0.0002105
44,538.107,0.86109,0.42908,1.18029,0.94928,0.93579,0.95984,0.60207,1.32628,0.50834,1.60678,0.00018575,0.00018575,0.00018575
45,671.305,0.83798,0.41937,1.16451,0.96655,0.93524,0.96253,0.6026,1.3281,0.50663,1.61746,0.000161,0.000161,0.000161
46,804.095,0.8137,0.40332,1.14244,0.98103,0.93625,0.96791,0.60564,1.33276,0.49368,1.62434,0.00013625,0.00013625,0.00013625
47,937.796,0.79707,0.39717,1.13361,0.97292,0.92982,0.96639,0.60299,1.33031,0.50089,1.6313,0.0001115,0.0001115,0.0001115
48,1070.71,0.78005,0.38704,1.12312,0.95023,0.94785,0.96426,0.60292,1.33508,0.49965,1.64752,8.675e-05,8.675e-05,8.675e-05
49,1203.17,0.76156,0.37888,1.11356,0.96818,0.93818,0.96535,0.60878,1.33496,0.49762,1.65,6.2e-05,6.2e-05,6.2e-05
50,1336.33,0.75,0.37417,1.10222,0.97429,0.9408,0.96612,0.60938,1.32724,0.49095,1.64409,3.725e-05,3.725e-05,3.725e-05
