epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.5,2.07262,2.91599,2.03207,0.27107,0.26041,0.15249,0.04778,2.45521,4.02523,2.5551,0.000416046,0.000416046,0.000416046
2,242.554,2.30357,3.11763,2.2998,0.25203,0.26001,0.18513,0.06546,2.18759,3.10933,2.37098,0.000816225,0.000816225,0.000816225
3,355.292,2.22075,2.93067,2.26106,0.33585,0.26644,0.22621,0.08956,2.05904,3.41343,2.30529,0.0011999,0.0011999,0.0011999
4,467.461,2.09483,2.64908,2.16877,0.37973,0.30811,0.29319,0.12115,2.12871,2.39091,2.31149,0.00117575,0.00117575,0.00117575
5,579.883,2.00212,2.467,2.12135,0.50152,0.49713,0.50482,0.20486,1.92168,1.95716,2.17883,0.001151,0.001151,0.001151
6,692.303,1.91278,2.23019,2.02671,0.53758,0.58414,0.61109,0.27501,1.71608,1.69746,2.05777,0.00112625,0.00112625,0.00112625
7,804.366,1.85403,2.05449,1.97284,0.63101,0.57033,0.64977,0.30411,1.73817,1.57047,2.02345,0.0011015,0.0011015,0.0011015
8,916.51,1.78398,1.9216,1.92671,0.66155,0.68655,0.68382,0.32941,1.75422,1.47982,2.05719,0.00107675,0.00107675,0.00107675
9,1028.57,1.7528,1.80109,1.88205,0.75822,0.70687,0.75944,0.37486,1.66746,1.35754,1.96332,0.001052,0.001052,0.001052
10,1140.4,1.74027,1.7286,1.85646,0.80953,0.70472,0.80162,0.4063,1.64191,1.25273,1.88951,0.00102725,0.00102725,0.00102725
11,1252.49,1.69068,1.63832,1.81781,0.76898,0.70128,0.77236,0.40732,1.63731,1.27524,1.89125,0.0010025,0.0010025,0.0010025
12,1364.22,1.64529,1.56285,1.79029,0.89626,0.74988,0.86712,0.46056,1.50302,1.09256,1.7995,0.00097775,0.00097775,0.00097775
13,1476.71,1.62981,1.50445,1.77575,0.83125,0.75714,0.84377,0.45794,1.55429,1.06632,1.86743,0.000953,0.000953,0.000953
14,1588.78,1.60111,1.42846,1.75751,0.80339,0.79713,0.86967,0.46727,1.5672,1.03695,1.84399,0.00092825,0.00092825,0.00092825
15,1700.92,1.59615,1.37935,1.74581,0.81831,0.82628,0.87249,0.47418,1.53772,0.99723,1.81545,0.0009035,0.0009035,0.0009035
16,1813.07,1.54729,1.32962,1.69655,0.88409,0.7905,0.87572,0.4752,1.52162,0.92346,1.79988,0.00087875,0.00087875,0.00087875
