epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.5332,2.03779,2.88071,1.97053,0.19501,0.20154,0.11446,0.0336,2.36328,3.30843,2.44135,0.000416046,0.000416046,0.000416046
2,185.404,2.21585,2.85319,2.20081,0.25357,0.37529,0.26218,0.08963,2.14676,2.48125,2.34895,0.000816225,0.000816225,0.000816225
3,273.833,2.16623,2.7218,2.15983,0.38537,0.45958,0.39752,0.16828,2.02745,2.11467,2.21675,0.0011999,0.0011999,0.0011999
4,361.905,2.07155,2.45107,2.07791,0.45951,0.45144,0.43062,0.17668,2.01873,2.2066,2.2013,0.00117575,0.00117575,0.00117575
5,449.926,1.97339,2.24094,2.0184,0.60325,0.545,0.57516,0.24393,1.88977,1.74876,2.12366,0.001151,0.001151,0.001151
6,537.857,1.87556,2.04238,1.91924,0.6661,0.60173,0.66273,0.31227,1.79237,1.49285,1.94432,0.00112625,0.00112625,0.00112625
7,625.801,1.82946,1.88027,1.88022,0.77947,0.68194,0.77913,0.39268,1.64336,1.29415,1.84692,0.0011015,0.0011015,0.0011015
8,713.361,1.78792,1.77053,1.83572,0.73121,0.72295,0.7714,0.40414,1.61289,1.28605,1.82234,0.00107675,0.00107675,0.00107675
9,801.031,1.73451,1.67099,1.79273,0.7426,0.73264,0.7862,0.40154,1.60725,1.21602,1.80512,0.001052,0.001052,0.001052
10,888.584,1.70781,1.57132,1.76395,0.84555,0.77454,0.85396,0.45281,1.62873,1.10096,1.78968,0.00102725,0.00102725,0.00102725
11,976.267,1.6713,1.50583,1.73645,0.89637,0.74948,0.85582,0.45567,1.57754,1.03967,1.76458,0.0010025,0.0010025,0.0010025
12,1064.1,1.62564,1.43462,1.71215,0.84874,0.80077,0.89289,0.47607,1.51855,0.98048,1.73989,0.00097775,0.00097775,0.00097775
13,1151.73,1.61867,1.38425,1.69514,0.85807,0.7884,0.87226,0.48221,1.53799,0.96804,1.73945,0.000953,0.000953,0.000953
14,1239.63,1.58893,1.3187,1.67387,0.89466,0.77037,0.88185,0.49109,1.52858,0.91302,1.73049,0.00092825,0.00092825,0.00092825
15,1327.45,1.56202,1.26285,1.65251,0.88909,0.80495,0.89594,0.48388,1.54812,0.94626,1.72669,0.0009035,0.0009035,0.0009035
16,1415.23,1.53335,1.20979,1.61782,0.88995,0.83896,0.90935,0.50836,1.48585,0.80742,1.70727,0.00087875,0.00087875,0.00087875
17,1503,1.50655,1.19124,1.599,0.86623,0.82728,0.90051,0.51363,1.47125,0.85798,1.66716,0.000854,0.000854,0.000854
18,1590.83,1.48396,1.14464,1.58063,0.92405,0.84507,0.92591,0.51801,1.49694,0.81233,1.69633,0.00082925,0.00082925,0.00082925
19,1679.14,1.48027,1.13035,1.56882,0.90142,0.83763,0.90329,0.51471,1.47721,0.86755,1.66829,0.0008045,0.0008045,0.0008045
20,1766.65,1.45247,1.08219,1.55744,0.88533,0.87783,0.92641,0.52337,1.48273,0.76735,1.65692,0.00077975,0.00077975,0.00077975
21,1854.22,1.43949,1.05856,1.54343,0.92674,0.89224,0.9479,0.5409,1.46762,0.72211,1.6508,0.000755,0.000755,0.000755
22,1942.15,1.40987,1.01221,1.51554,0.91161,0.89118,0.93802,0.53763,1.45549,0.71858,1.65872,0.00073025,0.00073025,0.00073025
23,2029.74,1.40065,0.99569,1.51946,0.95208,0.88195,0.9482,0.55234,1.43786,0.70357,1.64377,0.0007055,0.0007055,0.0007055
24,2117.67,1.38136,0.97344,1.49788,0.88439,0.87774,0.91943,0.53684,1.44019,0.72012,1.6424,0.00068075,0.00068075,0.00068075
25,2205.41,1.36203,0.95166,1.4848,0.92201,0.86796,0.92844,0.54096,1.46136,0.72754,1.63855,0.000656,0.000656,0.000656
26,2293.11,1.35069,0.92001,1.48079,0.92891,0.86513,0.93238,0.55722,1.42194,0.67998,1.64472,0.00063125,0.00063125,0.00063125
27,2380.73,1.32446,0.89846,1.45254,0.93303,0.9111,0.94553,0.55969,1.4389,0.66618,1.63644,0.0006065,0.0006065,0.0006065
28,2468.51,1.32679,0.8723,1.44875,0.92139,0.88936,0.93843,0.56415,1.41035,0.65751,1.61306,0.00058175,0.00058175,0.00058175
29,2556.25,1.2785,0.84981,1.42147,0.92676,0.90115,0.95368,0.56452,1.40075,0.65921,1.60875,0.000557,0.000557,0.000557
30,2643.98,1.27507,0.85242,1.42318,0.9555,0.9009,0.9562,0.57186,1.39894,0.62383,1.59227,0.00053225,0.00053225,0.00053225
31,2731.92,1.26777,0.82626,1.40933,0.9528,0.90442,0.95365,0.5819,1.37166,0.63741,1.6091,0.0005075,0.0005075,0.0005075
32,2819.71,1.24078,0.80115,1.3919,0.95228,0.8992,0.95084,0.57205,1.38676,0.62828,1.59654,0.00048275,0.00048275,0.00048275
33,2907.7,1.22566,0.79554,1.37605,0.94076,0.8889,0.9553,0.58342,1.35982,0.61425,1.59337,0.000458,0.000458,0.000458
34,2995.45,1.19583,0.77233,1.35805,0.91944,0.91371,0.93973,0.57532,1.38002,0.62855,1.60207,0.00043325,0.00043325,0.00043325
35,3083.12,1.18605,0.75252,1.35071,0.94628,0.9079,0.94952,0.58204,1.38063,0.61072,1.60292,0.0004085,0.0004085,0.0004085
36,3170.86,1.17202,0.74084,1.33058,0.96437,0.89654,0.9561,0.59008,1.37669,0.60743,1.61042,0.00038375,0.00038375,0.00038375
37,3258.47,1.15552,0.73385,1.32695,0.94537,0.92802,0.96023,0.58313,1.36507,0.59149,1.59852,0.000359,0.000359,0.000359
38,3346.37,1.13993,0.70831,1.32079,0.95214,0.92593,0.95706,0.59433,1.36173,0.58541,1.59793,0.00033425,0.00033425,0.00033425
39,3433.95,1.12882,0.69538,1.30391,0.94835,0.92009,0.94766,0.57911,1.38803,0.59473,1.62677,0.0003095,0.0003095,0.0003095
40,3521.69,1.10767,0.68427,1.29417,0.95614,0.9244,0.95128,0.58811,1.37729,0.58057,1.62313,0.00028475,0.00028475,0.00028475
41,3610.72,1.04737,0.53637,1.33083,0.94244,0.92681,0.95346,0.58602,1.3565,0.58508,1.61374,0.00026,0.00026,0.00026
42,3698.31,1.01435,0.5054,1.30611,0.9428,0.91472,0.95539,0.59203,1.37077,0.58682,1.6116,0.00023525,0.00023525,0.00023525
43,3786.12,0.97791,0.49098,1.27864,0.95797,0.91291,0.95691,0.59521,1.36583,0.57378,1.61757,0.0002105,0.0002105,0.0002105
44,3873.67,0.95809,0.47779,1.26584,0.95794,0.91128,0.95528,0.59621,1.35327,0.56645,1.62425,0.00018575,0.00018575,0.00018575
45,3961.43,0.9448,0.46645,1.25919,0.96249,0.91849,0.96126,0.60072,1.34311,0.55343,1.62337,0.000161,0.000161,0.000161
46,4049.35,0.91051,0.44488,1.22922,0.95482,0.91341,0.95377,0.59855,1.36281,0.54903,1.63564,0.00013625,0.00013625,0.00013625
47,4137.09,0.8916,0.4407,1.21437,0.96651,0.91602,0.9587,0.60567,1.35806,0.55276,1.64482,0.0001115,0.0001115,0.0001115
48,4224.98,0.87769,0.42751,1.20483,0.95753,0.91304,0.95893,0.61285,1.36149,0.54722,1.64455,8.675e-05,8.675e-05,8.675e-05
49,4312.43,0.85733,0.41986,1.18829,0.94979,0.91175,0.95374,0.60669,1.35518,0.54402,1.65079,6.2e-05,6.2e-05,6.2e-05
50,4400.01,0.84378,0.4164,1.17713,0.94868,0.90672,0.9556,0.60922,1.35366,0.53927,1.64634,3.725e-05,3.725e-05,3.725e-05
