epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.182,1.9965,3.76521,1.8426,0.4637,0.48742,0.48363,0.19241,1.94689,2.09584,1.90425,0.000416356,0.000416356,0.000416356
2,244.57,2.06575,2.84134,1.95535,0.49736,0.53758,0.52213,0.22999,1.84676,2.06635,1.90528,0.000816529,0.000816529,0.000816529
3,353.014,2.04844,2.55969,1.95521,0.50847,0.47644,0.45933,0.1892,1.9667,1.96363,1.99147,0.0012002,0.0012002,0.0012002
4,460.523,1.99703,2.38586,1.93492,0.72505,0.57497,0.64859,0.28949,1.77506,1.66556,1.85469,0.00117575,0.00117575,0.00117575
5,567.301,1.94698,2.20912,1.89748,0.54467,0.62129,0.60405,0.26467,1.81237,1.75649,1.79555,0.001151,0.001151,0.001151
6,675.175,1.8854,2.0685,1.84263,0.69801,0.69141,0.72655,0.3568,1.6671,1.48717,1.74475,0.00112625,0.00112625,0.00112625
7,783.866,1.84156,1.92957,1.79189,0.71815,0.67038,0.74303,0.372,1.63768,1.36895,1.72315,0.0011015,0.0011015,0.0011015
8,891.728,1.80477,1.80565,1.76725,0.76484,0.68661,0.77375,0.39088,1.61209,1.28123,1.70929,0.00107675,0.00107675,0.00107675
9,999.602,1.75951,1.72434,1.74156,0.79194,0.75446,0.82546,0.42936,1.5972,1.13944,1.66558,0.001052,0.001052,0.001052
10,1107.96,1.7323,1.63813,1.70322,0.86201,0.79618,0.8696,0.45512,1.52987,1.0541,1.60607,0.00102725,0.00102725,0.00102725
11,1214.93,1.70062,1.57599,1.68006,0.84467,0.79831,0.85859,0.43952,1.59699,1.08475,1.66274,0.0010025,0.0010025,0.0010025
12,1322.61,1.68819,1.53098,1.66136,0.83356,0.7841,0.85248,0.46088,1.57319,1.06543,1.6299,0.00097775,0.00097775,0.00097775
13,1430.29,1.67606,1.48882,1.67002,0.87662,0.80192,0.87074,0.49311,1.50855,0.98317,1.57445,0.000953,0.000953,0.000953
14,1538.56,1.65269,1.40964,1.63446,0.87142,0.82196,0.89619,0.49166,1.52594,0.91886,1.59782,0.00092825,0.00092825,0.00092825
15,1646.12,1.61217,1.38496,1.61201,0.89282,0.81327,0.90463,0.48535,1.53972,0.92635,1.59759,0.0009035,0.0009035,0.0009035
16,1754,1.6041,1.34537,1.60027,0.88851,0.83018,0.89848,0.50121,1.4954,0.89478,1.58146,0.00087875,0.00087875,0.00087875
17,1861.64,1.58449,1.30659,1.58697,0.92665,0.85355,0.93032,0.5316,1.42361,0.82238,1.52971,0.000854,0.000854,0.000854
18,1969.11,1.56211,1.2535,1.56199,0.84392,0.8728,0.92896,0.52379,1.46369,0.82967,1.58504,0.00082925,0.00082925,0.00082925
19,2077.04,1.56071,1.22266,1.55068,0.91501,0.88292,0.92924,0.51651,1.50159,0.81592,1.56248,0.0008045,0.0008045,0.0008045
20,2185.15,1.53,1.18351,1.52979,0.8964,0.82989,0.90957,0.50841,1.49293,0.84412,1.54742,0.00077975,0.00077975,0.00077975
21,2293.22,1.51918,1.15917,1.52192,0.87952,0.85193,0.90775,0.50254,1.44218,0.85884,1.52064,0.000755,0.000755,0.000755
22,2401.52,1.48753,1.11483,1.50057,0.94704,0.8641,0.93142,0.53083,1.46119,0.75857,1.54448,0.00073025,0.00073025,0.00073025
23,2508.04,1.4802,1.09669,1.49502,0.92918,0.8567,0.93635,0.52833,1.47749,0.78058,1.53626,0.0007055,0.0007055,0.0007055
24,2615.57,1.48527,1.10692,1.49867,0.90555,0.88369,0.93255,0.52659,1.45322,0.76205,1.53599,0.00068075,0.00068075,0.00068075
25,2723.53,1.4651,1.0627,1.47988,0.91192,0.87725,0.93445,0.53988,1.43175,0.73562,1.54202,0.000656,0.000656,0.000656
26,2831.6,1.43304,1.03216,1.45733,0.9321,0.88741,0.94637,0.55262,1.43406,0.70073,1.51861,0.00063125,0.00063125,0.00063125
27,2939.31,1.42497,1.01,1.44896,0.91498,0.88618,0.94065,0.54783,1.41267,0.70899,1.5095,0.0006065,0.0006065,0.0006065
28,3048.48,1.42844,1.01514,1.45599,0.92598,0.89215,0.93719,0.56049,1.41226,0.69257,1.49828,0.00058175,0.00058175,0.00058175
29,3155.86,1.40908,0.96982,1.43906,0.93801,0.90594,0.94951,0.55489,1.41411,0.6961,1.50614,0.000557,0.000557,0.000557
30,3263.52,1.39005,0.93883,1.42815,0.90589,0.90897,0.9529,0.55713,1.40508,0.70048,1.49655,0.00053225,0.00053225,0.00053225
31,3371.9,1.37361,0.91811,1.40824,0.92876,0.88693,0.94212,0.55595,1.42186,0.68494,1.50171,0.0005075,0.0005075,0.0005075
32,3479.29,1.36656,0.91889,1.40059,0.95293,0.88715,0.9566,0.56568,1.39128,0.66254,1.47754,0.00048275,0.00048275,0.00048275
33,3587.22,1.34763,0.90898,1.39247,0.93574,0.90457,0.95348,0.56179,1.39551,0.65804,1.47707,0.000458,0.000458,0.000458
34,3695.03,1.33141,0.87803,1.38165,0.9269,0.8959,0.94738,0.5631,1.39531,0.64758,1.49449,0.00043325,0.00043325,0.00043325
35,3803.14,1.32509,0.87368,1.37836,0.95719,0.89921,0.95744,0.57559,1.37253,0.65082,1.47208,0.0004085,0.0004085,0.0004085
36,3910.88,1.30564,0.84557,1.35542,0.93291,0.91254,0.95843,0.56717,1.3774,0.64947,1.4819,0.00038375,0.00038375,0.00038375
37,4018.52,1.30049,0.84174,1.35262,0.95921,0.91689,0.96105,0.56899,1.39539,0.64171,1.50045,0.000359,0.000359,0.000359
38,4126.92,1.28899,0.81561,1.34162,0.96769,0.9068,0.95801,0.57385,1.38631,0.63209,1.48858,0.00033425,0.00033425,0.00033425
