epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.154,2.05834,3.48499,2.05991,0.44337,0.4048,0.32632,0.12184,2.08355,2.38089,2.31939,0.000416356,0.000416356,0.000416356
2,279.376,2.20331,2.863,2.21945,0.34367,0.36168,0.27892,0.10619,2.14805,2.44442,2.30114,0.000816529,0.000816529,0.000816529
3,405.535,2.16756,2.7748,2.18463,0.40525,0.37434,0.34504,0.13239,2.04752,2.25324,2.22511,0.0012002,0.0012002,0.0012002
4,525.99,2.06219,2.53201,2.10862,0.61425,0.54899,0.58464,0.28809,1.72837,1.66756,1.97075,0.00117575,0.00117575,0.00117575
5,646.84,1.96855,2.29888,2.02377,0.61587,0.60727,0.63925,0.28937,1.82121,1.72397,2.01381,0.001151,0.001151,0.001151
6,773.01,1.9127,2.14944,1.97431,0.65432,0.65102,0.68179,0.34601,1.68515,1.46867,1.91091,0.00112625,0.00112625,0.00112625
7,899.239,1.85323,1.97107,1.91743,0.77645,0.748,0.80313,0.39165,1.66921,1.34118,1.88721,0.0011015,0.0011015,0.0011015
8,1027.52,1.81968,1.88068,1.88419,0.7137,0.70122,0.75146,0.39159,1.67245,1.34101,1.85506,0.00107675,0.00107675,0.00107675
9,1152.91,1.77372,1.79356,1.85842,0.74233,0.73002,0.80629,0.41676,1.59544,1.26069,1.78745,0.001052,0.001052,0.001052
10,1280.74,1.73576,1.66861,1.8181,0.86963,0.76234,0.84952,0.4489,1.58065,1.16227,1.76585,0.00102725,0.00102725,0.00102725
11,1406.61,1.70812,1.58888,1.79617,0.81071,0.77735,0.84064,0.43115,1.638,1.08481,1.82841,0.0010025,0.0010025,0.0010025
12,1531.93,1.67924,1.54797,1.76305,0.84457,0.81737,0.88659,0.47657,1.51555,1.00572,1.73176,0.00097775,0.00097775,0.00097775
13,1657.26,1.66797,1.51578,1.7609,0.86368,0.79669,0.88341,0.47512,1.56625,0.97436,1.72841,0.000953,0.000953,0.000953
14,1783.09,1.65758,1.41459,1.7301,0.89279,0.79286,0.87374,0.46415,1.59702,0.97924,1.77177,0.00092825,0.00092825,0.00092825
15,1910.73,1.60675,1.38283,1.70357,0.8773,0.84339,0.89957,0.48403,1.56805,0.90045,1.73426,0.0009035,0.0009035,0.0009035
16,2042.32,1.58995,1.32938,1.67072,0.93868,0.83277,0.92276,0.51082,1.51002,0.86299,1.67791,0.00087875,0.00087875,0.00087875
17,2170.72,1.58357,1.30143,1.68951,0.91926,0.83818,0.91146,0.5312,1.47942,0.8337,1.6761,0.000854,0.000854,0.000854
18,2299.48,1.54619,1.25863,1.63464,0.9201,0.85933,0.92844,0.51787,1.47466,0.80793,1.66601,0.00082925,0.00082925,0.00082925
19,2427.41,1.55302,1.20924,1.63098,0.92305,0.8517,0.92011,0.51509,1.4983,0.79786,1.66689,0.0008045,0.0008045,0.0008045
20,2545.61,1.51082,1.18367,1.61559,0.9295,0.88126,0.94254,0.53523,1.46702,0.75379,1.647,0.00077975,0.00077975,0.00077975
21,2661.29,1.49764,1.13884,1.6006,0.90991,0.84894,0.92782,0.54253,1.44251,0.78129,1.63322,0.000755,0.000755,0.000755
22,2777.56,1.48153,1.11003,1.58845,0.91348,0.84859,0.92751,0.54219,1.43737,0.76632,1.63994,0.00073025,0.00073025,0.00073025
23,2893.56,1.47435,1.09686,1.57792,0.88294,0.89519,0.92999,0.53796,1.46033,0.74299,1.64959,0.0007055,0.0007055,0.0007055
24,3009.06,1.45328,1.07821,1.57393,0.9196,0.87625,0.93321,0.53922,1.43447,0.73076,1.64218,0.00068075,0.00068075,0.00068075
25,3125.46,1.44759,1.0391,1.55405,0.93532,0.87355,0.93318,0.55159,1.40642,0.71498,1.61239,0.000656,0.000656,0.000656
26,3241.62,1.41903,1.03716,1.53361,0.95287,0.8754,0.94743,0.5545,1.42096,0.69377,1.60841,0.00063125,0.00063125,0.00063125
27,3357.11,1.39855,0.98734,1.51666,0.94829,0.87566,0.94143,0.56132,1.40272,0.69737,1.59247,0.0006065,0.0006065,0.0006065
28,3472.15,1.39588,0.99848,1.50878,0.92991,0.89062,0.937,0.56222,1.40006,0.67543,1.58667,0.00058175,0.00058175,0.00058175
29,3587.51,1.38801,0.94234,1.5138,0.93467,0.89154,0.94271,0.56915,1.39777,0.66749,1.59388,0.000557,0.000557,0.000557
30,3703.44,1.36707,0.9165,1.49044,0.93295,0.88934,0.94979,0.56759,1.39167,0.65409,1.59559,0.00053225,0.00053225,0.00053225
31,3818.68,1.35234,0.91184,1.48516,0.90845,0.89418,0.94168,0.55067,1.42784,0.68215,1.61688,0.0005075,0.0005075,0.0005075
32,3934.54,1.3358,0.89011,1.46401,0.93769,0.92654,0.95614,0.57584,1.36662,0.62999,1.57005,0.00048275,0.00048275,0.00048275
33,4050.75,1.31846,0.87317,1.45087,0.93133,0.88936,0.95138,0.57311,1.39717,0.62814,1.594,0.000458,0.000458,0.000458
34,4166.61,1.29514,0.8493,1.43913,0.94659,0.9029,0.9493,0.57828,1.36522,0.62523,1.57795,0.00043325,0.00043325,0.00043325
35,4283.23,1.27446,0.83034,1.41761,0.9671,0.91258,0.95944,0.58827,1.3743,0.60595,1.57774,0.0004085,0.0004085,0.0004085
36,4402.36,1.27566,0.80901,1.41567,0.93921,0.92459,0.96146,0.58105,1.38562,0.59985,1.59757,0.00038375,0.00038375,0.00038375
37,4521.2,1.26048,0.80877,1.41055,0.93511,0.91672,0.95014,0.57779,1.39441,0.6082,1.62836,0.000359,0.000359,0.000359
38,4638.92,1.24104,0.7759,1.3906,0.9447,0.93638,0.96468,0.58419,1.37852,0.59218,1.57594,0.00033425,0.00033425,0.00033425
39,4756.7,1.23407,0.77169,1.3856,0.93471,0.91827,0.9548,0.58851,1.35768,0.59363,1.56793,0.0003095,0.0003095,0.0003095
40,4873.92,1.21305,0.74085,1.36774,0.93657,0.91635,0.95578,0.58776,1.36437,0.58633,1.56348,0.00028475,0.00028475,0.00028475
41,4991.85,1.12276,0.55995,1.37735,0.94872,0.9377,0.96408,0.59243,1.35965,0.57223,1.56939,0.00026,0.00026,0.00026
42,5112.03,1.09804,0.53732,1.35669,0.95211,0.94126,0.96538,0.60578,1.34541,0.55973,1.57174,0.00023525,0.00023525,0.00023525
43,5230.06,1.06931,0.5166,1.33355,0.97613,0.92573,0.9656,0.59938,1.34067,0.56138,1.57854,0.0002105,0.0002105,0.0002105
44,5345.88,1.03474,0.49599,1.31078,0.96228,0.92398,0.96532,0.60799,1.34337,0.55078,1.58167,0.00018575,0.00018575,0.00018575
45,5461.24,1.02745,0.48953,1.30656,0.95101,0.93483,0.9659,0.60138,1.35218,0.55856,1.58773,0.000161,0.000161,0.000161
46,5580.2,0.99717,0.47267,1.2778,0.96801,0.93469,0.97293,0.6043,1.33806,0.54841,1.57904,0.00013625,0.00013625,0.00013625
