epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,364.799,2.496,3.83254,2.54708,0.5663,0.03455,0.03159,0.00717,2.76106,3.95567,2.97066,0.000416356,0.000416356,0.000416356
2,701.937,2.63591,3.96032,2.6852,0.00271,0.71843,0.01847,0.00507,2.62068,3.45475,2.79485,0.000816529,0.000816529,0.000816529
3,1036.7,2.54306,3.86481,2.57046,0.46048,0.11403,0.0903,0.03489,2.37203,3.14408,2.58118,0.0012002,0.0012002,0.0012002
4,1369.84,2.4108,3.62633,2.47779,0.5714,0.13434,0.12598,0.05433,2.21308,2.92493,2.47755,0.00117575,0.00117575,0.00117575
5,1704.12,2.3152,3.43492,2.38572,0.13959,0.25597,0.10404,0.04215,2.19049,2.82161,2.41009,0.001151,0.001151,0.001151
6,2024,2.25329,3.26404,2.36203,0.23357,0.24558,0.18736,0.07848,2.10754,2.67164,2.37929,0.00112625,0.00112625,0.00112625
7,2300.76,2.19759,3.09469,2.3055,0.31247,0.28713,0.18388,0.06805,2.07664,2.48063,2.3362,0.0011015,0.0011015,0.0011015
8,2577.21,2.13967,2.96151,2.25566,0.42951,0.4079,0.33786,0.13918,1.98985,2.27777,2.34827,0.00107675,0.00107675,0.00107675
9,2853.64,2.08889,2.86779,2.23226,0.49096,0.34942,0.35221,0.15503,1.92251,2.21113,2.2477,0.001052,0.001052,0.001052
10,3130.24,2.04413,2.72775,2.19796,0.4619,0.4099,0.41842,0.18947,1.85359,2.17719,2.22024,0.00102725,0.00102725,0.00102725
11,3407.08,1.99207,2.62282,2.16531,0.46843,0.4459,0.44274,0.20456,1.83702,2.10803,2.18876,0.0010025,0.0010025,0.0010025
12,3683.67,1.95173,2.52595,2.12622,0.49207,0.5336,0.49504,0.22474,1.81537,1.91775,2.21373,0.00097775,0.00097775,0.00097775
13,3960.09,1.93946,2.43545,2.13271,0.58236,0.54201,0.56183,0.26675,1.76316,1.75541,2.17162,0.000953,0.000953,0.000953
14,4278.48,1.90835,2.34083,2.10463,0.61522,0.62451,0.65347,0.31608,1.6816,1.679,2.08957,0.00092825,0.00092825,0.00092825
15,4576.29,1.86233,2.24536,2.05484,0.68261,0.58513,0.65446,0.3099,1.72596,1.63634,2.12438,0.0009035,0.0009035,0.0009035
16,4852.57,1.83633,2.16957,2.02006,0.65469,0.61782,0.64853,0.33252,1.67265,1.60423,2.08012,0.00087875,0.00087875,0.00087875
17,5129.08,1.80943,2.07527,2.0241,0.71723,0.63231,0.71745,0.35994,1.63934,1.50209,2.02612,0.000854,0.000854,0.000854
18,5405.89,1.79351,2.02648,1.99444,0.76524,0.67165,0.76064,0.38511,1.62724,1.37088,2.04445,0.00082925,0.00082925,0.00082925
19,5682.39,1.76483,1.92648,1.9711,0.72816,0.68793,0.73709,0.37254,1.62523,1.37117,2.01897,0.0008045,0.0008045,0.0008045
20,5958.71,1.74642,1.89134,1.95548,0.729,0.70871,0.75032,0.38359,1.57709,1.33162,1.97022,0.00077975,0.00077975,0.00077975
21,6234.97,1.72573,1.84311,1.93028,0.73982,0.71734,0.7827,0.40171,1.59543,1.27616,1.95038,0.000755,0.000755,0.000755
22,6511.55,1.6979,1.74847,1.91476,0.81037,0.72567,0.8139,0.42002,1.58136,1.23808,1.96031,0.00073025,0.00073025,0.00073025
23,6788.62,1.67953,1.71081,1.8976,0.7734,0.71931,0.80112,0.42517,1.56258,1.23266,1.9346,0.0007055,0.0007055,0.0007055
24,7065.19,1.6792,1.68962,1.88687,0.77783,0.71784,0.7992,0.41451,1.58222,1.20231,1.9483,0.00068075,0.00068075,0.00068075
25,7341.79,1.64717,1.63703,1.85864,0.78061,0.77019,0.8328,0.45294,1.50844,1.16638,1.90737,0.000656,0.000656,0.000656
26,7618.56,1.62382,1.61055,1.84856,0.86319,0.75845,0.85462,0.46674,1.49492,1.09211,1.87939,0.00063125,0.00063125,0.00063125
27,7895.46,1.60658,1.5646,1.82604,0.82255,0.76747,0.8499,0.46273,1.50535,1.08841,1.86269,0.0006065,0.0006065,0.0006065
28,8172.04,1.61407,1.54624,1.83769,0.87047,0.77721,0.86402,0.47438,1.50808,1.06974,1.8691,0.00058175,0.00058175,0.00058175
29,8448.68,1.58705,1.48182,1.81882,0.87415,0.76857,0.86669,0.48562,1.49949,1.03162,1.85492,0.000557,0.000557,0.000557
30,8725.17,1.57109,1.43567,1.80107,0.8577,0.79815,0.87304,0.4784,1.511,1.04216,1.88153,0.00053225,0.00053225,0.00053225
31,9001.46,1.53392,1.39376,1.77327,0.8642,0.81221,0.88413,0.48639,1.49458,0.99203,1.86259,0.0005075,0.0005075,0.0005075
32,9278.14,1.52385,1.36477,1.75023,0.87975,0.827,0.88893,0.50313,1.46102,0.93955,1.8321,0.00048275,0.00048275,0.00048275
33,9554.59,1.51622,1.36119,1.76055,0.89601,0.7884,0.88499,0.50813,1.46183,0.94524,1.83874,0.000458,0.000458,0.000458
34,9831.03,1.4964,1.29984,1.73125,0.88198,0.81979,0.88743,0.51158,1.4697,0.9425,1.84678,0.00043325,0.00043325,0.00043325
35,10107.4,1.47999,1.26638,1.71804,0.8953,0.81061,0.89669,0.51233,1.45584,0.92035,1.82907,0.0004085,0.0004085,0.0004085
36,10384.1,1.46291,1.22744,1.69894,0.89487,0.86434,0.90978,0.5265,1.43748,0.85949,1.80364,0.00038375,0.00038375,0.00038375
37,10660.7,1.4409,1.2226,1.68944,0.91362,0.80837,0.90244,0.51159,1.45879,0.85868,1.83939,0.000359,0.000359,0.000359
38,10936.9,1.43901,1.18158,1.68691,0.87996,0.85684,0.91954,0.5402,1.41981,0.8455,1.78682,0.00033425,0.00033425,0.00033425
39,11213.3,1.42304,1.17859,1.67171,0.93745,0.83957,0.92462,0.53381,1.42794,0.83535,1.81086,0.0003095,0.0003095,0.0003095
40,11489.6,1.40905,1.13614,1.65916,0.93129,0.83284,0.91786,0.53576,1.42623,0.83914,1.79476,0.00028475,0.00028475,0.00028475
41,11766.7,1.35465,0.9342,1.70365,0.92679,0.86673,0.93007,0.54087,1.40422,0.79826,1.79472,0.00026,0.00026,0.00026
42,12043.3,1.30257,0.87528,1.6675,0.9028,0.87023,0.92395,0.5396,1.41528,0.78526,1.81594,0.00023525,0.00023525,0.00023525
43,12319.9,1.28766,0.84249,1.65095,0.93961,0.87073,0.933,0.55722,1.38784,0.77362,1.77507,0.0002105,0.0002105,0.0002105
44,12596.4,1.25337,0.80782,1.62317,0.91074,0.88113,0.9346,0.55031,1.40072,0.76498,1.79214,0.00018575,0.00018575,0.00018575
45,12872.7,1.23983,0.78823,1.60938,0.93126,0.88574,0.93741,0.56026,1.38708,0.72553,1.78669,0.000161,0.000161,0.000161
46,13149.9,1.21272,0.76303,1.58518,0.92856,0.86806,0.93243,0.55064,1.41202,0.745,1.81053,0.00013625,0.00013625,0.00013625
47,13426.4,1.18756,0.73859,1.56707,0.93263,0.86052,0.9335,0.55316,1.40892,0.73847,1.83114,0.0001115,0.0001115,0.0001115
48,13702.7,1.16702,0.72376,1.55378,0.94766,0.87242,0.93463,0.55667,1.39981,0.7299,1.81677,8.675e-05,8.675e-05,8.675e-05
49,13979,1.15226,0.70317,1.54312,0.93366,0.87326,0.93611,0.56133,1.39275,0.72124,1.81323,6.2e-05,6.2e-05,6.2e-05
50,14255.5,1.14266,0.69639,1.53059,0.93336,0.86407,0.93335,0.56674,1.39485,0.71709,1.81539,3.725e-05,3.725e-05,3.725e-05
