epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.672,2.03406,2.93554,2.03575,0.03634,0.10634,0.02764,0.00901,2.45969,80.7788,2.67847,0.000416046,0.000416046,0.000416046
2,304.637,2.20096,2.94486,2.24508,0.34239,0.28492,0.25173,0.09825,2.20159,2.62574,2.32123,0.000816225,0.000816225,0.000816225
3,452.271,2.10618,2.69798,2.16577,0.49859,0.46655,0.47408,0.19366,1.84509,2.16456,2.15514,0.0011999,0.0011999,0.0011999
4,599.343,1.99545,2.46041,2.08926,0.64706,0.47347,0.54763,0.24135,1.88452,1.87221,2.13231,0.00117575,0.00117575,0.00117575
5,745.962,1.8944,2.19006,2.00708,0.65053,0.57074,0.62035,0.27745,1.81637,1.69107,2.08938,0.001151,0.001151,0.001151
6,892.861,1.79825,1.99745,1.91758,0.7949,0.68277,0.78975,0.39582,1.60347,1.42286,1.89258,0.00112625,0.00112625,0.00112625
7,1039.44,1.75157,1.83607,1.87595,0.7879,0.69547,0.77677,0.39031,1.66451,1.34215,1.94217,0.0011015,0.0011015,0.0011015
8,1185.77,1.70098,1.7046,1.83535,0.8294,0.70161,0.8061,0.42254,1.58293,1.24782,1.87576,0.00107675,0.00107675,0.00107675
9,1332.24,1.65785,1.60582,1.79787,0.83624,0.73734,0.83666,0.43996,1.53112,1.18231,1.82263,0.001052,0.001052,0.001052
10,1478.56,1.64034,1.52165,1.76904,0.87689,0.81706,0.88659,0.47648,1.53177,1.03281,1.79194,0.00102725,0.00102725,0.00102725
11,1625.09,1.58757,1.43078,1.73853,0.90092,0.80353,0.88976,0.48008,1.56995,0.99529,1.80674,0.0010025,0.0010025,0.0010025
12,1771.65,1.5583,1.34992,1.71185,0.86473,0.81968,0.89989,0.49536,1.49991,0.97141,1.78154,0.00097775,0.00097775,0.00097775
13,1918.6,1.54978,1.31412,1.70345,0.90144,0.82881,0.91224,0.50922,1.51109,0.90011,1.77459,0.000953,0.000953,0.000953
14,2065.48,1.51512,1.26622,1.6774,0.85586,0.8366,0.90108,0.51072,1.47442,0.91588,1.75624,0.00092825,0.00092825,0.00092825
15,2212.36,1.50259,1.20156,1.654,0.87338,0.8567,0.9188,0.51955,1.44998,0.84853,1.71635,0.0009035,0.0009035,0.0009035
16,2359.05,1.45649,1.14351,1.62416,0.91282,0.83621,0.91421,0.52941,1.42491,0.83881,1.69069,0.00087875,0.00087875,0.00087875
17,2505.81,1.43228,1.10485,1.6052,0.89431,0.81891,0.91394,0.53528,1.44854,0.8282,1.70165,0.000854,0.000854,0.000854
18,2652.82,1.39694,1.04733,1.57339,0.90431,0.88113,0.93207,0.52731,1.45781,0.79819,1.72322,0.00082925,0.00082925,0.00082925
19,2798.96,1.39274,1.03803,1.57161,0.94864,0.84094,0.92389,0.53883,1.40856,0.75291,1.67171,0.0008045,0.0008045,0.0008045
20,2945.2,1.35763,0.98804,1.53983,0.89323,0.88709,0.94324,0.54382,1.43676,0.72953,1.69639,0.00077975,0.00077975,0.00077975
21,3092.09,1.34923,0.97384,1.54193,0.93182,0.87978,0.94449,0.5494,1.41457,0.72462,1.68726,0.000755,0.000755,0.000755
22,3238.8,1.31999,0.94492,1.51222,0.90992,0.91006,0.94517,0.56079,1.40126,0.69017,1.66629,0.00073025,0.00073025,0.00073025
23,3385.43,1.30911,0.93396,1.51006,0.94932,0.89007,0.94983,0.56863,1.36601,0.65923,1.6578,0.0007055,0.0007055,0.0007055
24,3532.31,1.27956,0.89797,1.48269,0.94492,0.9113,0.95315,0.56699,1.39263,0.653,1.67235,0.00068075,0.00068075,0.00068075
25,3679.07,1.26439,0.86631,1.47427,0.92328,0.89564,0.94482,0.56471,1.4045,0.64257,1.68403,0.000656,0.000656,0.000656
26,3825.41,1.24349,0.82802,1.46256,0.96726,0.87944,0.94723,0.57348,1.36545,0.63956,1.68119,0.00063125,0.00063125,0.00063125
27,3971.8,1.22322,0.81012,1.43639,0.94495,0.92015,0.96456,0.58035,1.37989,0.61915,1.65421,0.0006065,0.0006065,0.0006065
28,4118.56,1.22024,0.79599,1.43899,0.93182,0.91054,0.95306,0.57889,1.3532,0.62462,1.64064,0.00058175,0.00058175,0.00058175
29,4264.88,1.17074,0.76351,1.40631,0.94835,0.91097,0.95434,0.56816,1.37639,0.62783,1.65813,0.000557,0.000557,0.000557
30,4411.18,1.16997,0.77576,1.40646,0.93186,0.89305,0.9526,0.58847,1.35571,0.61161,1.66394,0.00053225,0.00053225,0.00053225
31,4557.56,1.15412,0.7411,1.39107,0.94708,0.89339,0.95167,0.59104,1.34988,0.59575,1.66969,0.0005075,0.0005075,0.0005075
32,4704.16,1.12709,0.71851,1.37055,0.94333,0.91856,0.95605,0.57998,1.40197,0.5952,1.69191,0.00048275,0.00048275,0.00048275
33,4850.49,1.11882,0.71288,1.36633,0.95263,0.90711,0.95276,0.57822,1.38659,0.59922,1.70701,0.000458,0.000458,0.000458
34,4996.9,1.07404,0.69243,1.34095,0.96017,0.90513,0.95182,0.578,1.39345,0.59639,1.71109,0.00043325,0.00043325,0.00043325
35,5143.09,1.07458,0.67613,1.33368,0.95875,0.90513,0.95763,0.58772,1.35519,0.5919,1.66623,0.0004085,0.0004085,0.0004085
36,5289.42,1.05501,0.65889,1.30568,0.95403,0.91624,0.9673,0.58997,1.37282,0.57853,1.69171,0.00038375,0.00038375,0.00038375
37,5436.26,1.03103,0.64189,1.29805,0.93341,0.93815,0.96728,0.57978,1.37595,0.57423,1.68541,0.000359,0.000359,0.000359
38,5582.94,1.01138,0.62707,1.28979,0.94308,0.93145,0.96459,0.5949,1.35329,0.5641,1.69259,0.00033425,0.00033425,0.00033425
39,5729.77,0.99457,0.61105,1.27121,0.9744,0.89736,0.96049,0.58862,1.35788,0.55427,1.70603,0.0003095,0.0003095,0.0003095
40,5875.96,0.97292,0.59998,1.25898,0.93023,0.94539,0.96597,0.58929,1.36017,0.55086,1.68613,0.00028475,0.00028475,0.00028475
41,6022.48,0.88993,0.45262,1.25377,0.93062,0.92998,0.96017,0.59895,1.32892,0.54771,1.67312,0.00026,0.00026,0.00026
42,6168.69,0.85984,0.43169,1.2248,0.95959,0.93532,0.96508,0.59709,1.35591,0.55439,1.71016,0.00023525,0.00023525,0.00023525
43,6314.87,0.82679,0.41607,1.19908,0.96643,0.92835,0.96579,0.59667,1.345,0.53647,1.70452,0.0002105,0.0002105,0.0002105
44,6461.4,0.80161,0.40003,1.1835,0.95919,0.9323,0.96663,0.60638,1.34946,0.53104,1.72639,0.00018575,0.00018575,0.00018575
45,6607.76,0.77883,0.39043,1.16424,0.96537,0.93,0.95811,0.59584,1.35149,0.54182,1.73965,0.000161,0.000161,0.000161
46,6754.18,0.75633,0.37541,1.14952,0.96823,0.92242,0.96253,0.60237,1.36394,0.53159,1.76883,0.00013625,0.00013625,0.00013625
47,6900.34,0.73074,0.37169,1.12984,0.9761,0.93121,0.97166,0.60114,1.36705,0.52627,1.78179,0.0001115,0.0001115,0.0001115
48,7046.79,0.70937,0.35665,1.11516,0.95098,0.93328,0.96139,0.60437,1.36583,0.53437,1.77192,8.675e-05,8.675e-05,8.675e-05
49,7193.32,0.68942,0.34666,1.09853,0.98291,0.91844,0.96774,0.60429,1.35452,0.53311,1.76087,6.2e-05,6.2e-05,6.2e-05
50,7339.45,0.66956,0.33951,1.08214,0.9685,0.93455,0.97048,0.60565,1.35432,0.5258,1.76508,3.725e-05,3.725e-05,3.725e-05
