epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.8031,1.90257,3.59873,1.70791,0.50358,0.40482,0.40739,0.17102,1.89282,2.14412,1.73418,0.000416046,0.000416046,0.000416046
2,83.17,1.88142,2.52365,1.72574,0.593,0.60155,0.62153,0.27856,1.79603,1.64231,1.76231,0.000816225,0.000816225,0.000816225
3,121.636,1.90048,2.19013,1.72845,0.71383,0.59455,0.6765,0.3375,1.69934,1.54276,1.67524,0.0011999,0.0011999,0.0011999
4,159.58,1.87219,2.01158,1.72274,0.71636,0.67857,0.73216,0.35628,1.71977,1.37208,1.65628,0.00117575,0.00117575,0.00117575
5,197.731,1.80595,1.85053,1.66611,0.70187,0.61517,0.70173,0.3384,1.70562,1.51771,1.61375,0.001151,0.001151,0.001151
6,236.341,1.74369,1.68468,1.61048,0.78579,0.70273,0.79024,0.41538,1.5847,1.26109,1.56517,0.00112625,0.00112625,0.00112625
7,274.214,1.7072,1.59138,1.59336,0.78632,0.74729,0.81759,0.43506,1.62865,1.15208,1.61164,0.0011015,0.0011015,0.0011015
8,311.981,1.66423,1.48428,1.56,0.80923,0.735,0.79742,0.42465,1.55903,1.17471,1.56422,0.00107675,0.00107675,0.00107675
9,350.316,1.63812,1.41937,1.52813,0.87102,0.82891,0.89688,0.47688,1.56545,0.94857,1.57291,0.001052,0.001052,0.001052
10,388.61,1.62349,1.36525,1.50995,0.87763,0.83199,0.89332,0.47497,1.55367,0.97168,1.54255,0.00102725,0.00102725,0.00102725
11,426.299,1.58595,1.29073,1.48552,0.89691,0.82177,0.89794,0.47952,1.57703,0.94623,1.53654,0.0010025,0.0010025,0.0010025
12,464.116,1.56468,1.24767,1.4719,0.91178,0.82525,0.92178,0.50944,1.49117,0.85866,1.49026,0.00097775,0.00097775,0.00097775
13,502.365,1.54069,1.21264,1.45599,0.89732,0.82012,0.8942,0.50823,1.49654,0.85924,1.48274,0.000953,0.000953,0.000953
14,540.115,1.52233,1.18619,1.45364,0.88735,0.84726,0.91751,0.51626,1.4839,0.82189,1.487,0.00092825,0.00092825,0.00092825
15,578.278,1.50549,1.13105,1.42215,0.89671,0.85081,0.92139,0.52812,1.43077,0.82387,1.43917,0.0009035,0.0009035,0.0009035
16,616.752,1.46477,1.10071,1.40122,0.91523,0.86922,0.91785,0.51656,1.46431,0.80185,1.48766,0.00087875,0.00087875,0.00087875
17,655.264,1.4679,1.08732,1.40214,0.91077,0.85259,0.92817,0.53775,1.4298,0.76847,1.44752,0.000854,0.000854,0.000854
18,692.86,1.43797,1.03994,1.38248,0.94185,0.86538,0.92835,0.53956,1.41018,0.74515,1.45243,0.00082925,0.00082925,0.00082925
19,730.998,1.42465,1.03587,1.37065,0.92285,0.85889,0.91744,0.53637,1.40709,0.75672,1.44825,0.0008045,0.0008045,0.0008045
20,769.182,1.41524,1.00911,1.36799,0.91409,0.85061,0.93225,0.52877,1.45594,0.73245,1.47333,0.00077975,0.00077975,0.00077975
21,807.194,1.3991,0.98526,1.35445,0.92255,0.87244,0.94172,0.53863,1.43945,0.71761,1.46829,0.000755,0.000755,0.000755
22,845.234,1.38006,0.94237,1.34293,0.94879,0.89543,0.94614,0.55256,1.39572,0.70019,1.42652,0.00073025,0.00073025,0.00073025
23,883.593,1.36936,0.95317,1.34169,0.93184,0.88238,0.94276,0.55829,1.3677,0.69229,1.41924,0.0007055,0.0007055,0.0007055
24,921.682,1.34548,0.91866,1.32283,0.91884,0.88157,0.93554,0.55139,1.39024,0.69057,1.42435,0.00068075,0.00068075,0.00068075
25,959.673,1.34215,0.90369,1.32,0.9406,0.89127,0.94464,0.55521,1.38656,0.68624,1.41211,0.000656,0.000656,0.000656
26,998.043,1.33477,0.88783,1.31255,0.91344,0.90029,0.93929,0.56495,1.3856,0.66641,1.42175,0.00063125,0.00063125,0.00063125
27,1036.11,1.31155,0.86223,1.29673,0.94512,0.89091,0.94637,0.54681,1.42043,0.69547,1.4529,0.0006065,0.0006065,0.0006065
28,1074.58,1.30803,0.8522,1.30348,0.95507,0.89887,0.952,0.5703,1.36324,0.64926,1.41221,0.00058175,0.00058175,0.00058175
29,1112.46,1.26471,0.82948,1.27443,0.94093,0.90812,0.95476,0.57535,1.36315,0.63153,1.41885,0.000557,0.000557,0.000557
30,1150.73,1.27385,0.83226,1.27553,0.92372,0.90649,0.94647,0.5781,1.36208,0.6651,1.38981,0.00053225,0.00053225,0.00053225
31,1189.07,1.2531,0.80089,1.26032,0.95138,0.88965,0.93979,0.57582,1.33683,0.64284,1.40007,0.0005075,0.0005075,0.0005075
32,1227.66,1.2441,0.80032,1.25908,0.94586,0.89403,0.94661,0.58017,1.34989,0.61529,1.40174,0.00048275,0.00048275,0.00048275
33,1265.47,1.23182,0.77821,1.25102,0.96425,0.90463,0.95845,0.57734,1.36733,0.61201,1.41654,0.000458,0.000458,0.000458
34,1303.52,1.20891,0.76388,1.23398,0.94764,0.90257,0.95594,0.57948,1.36167,0.625,1.41303,0.00043325,0.00043325,0.00043325
35,1341.39,1.20575,0.75631,1.23548,0.95429,0.91296,0.96048,0.58579,1.3637,0.61611,1.40995,0.0004085,0.0004085,0.0004085
36,1379.44,1.20829,0.73782,1.229,0.95897,0.9069,0.95562,0.58289,1.35928,0.59634,1.42405,0.00038375,0.00038375,0.00038375
37,1418.01,1.18866,0.73777,1.22291,0.96071,0.91893,0.96448,0.58776,1.34297,0.60658,1.39961,0.000359,0.000359,0.000359
38,1456.1,1.16644,0.71871,1.21126,0.95144,0.91291,0.95997,0.58555,1.36629,0.59408,1.41952,0.00033425,0.00033425,0.00033425
39,1494.71,1.16188,0.71726,1.20141,0.97074,0.91528,0.96527,0.59657,1.33304,0.58944,1.4034,0.0003095,0.0003095,0.0003095
40,1532.89,1.14198,0.69815,1.199,0.97182,0.92112,0.96281,0.59424,1.34739,0.59279,1.4082,0.00028475,0.00028475,0.00028475
41,1571.33,1.05283,0.54129,1.1721,0.9576,0.91741,0.96231,0.59248,1.33718,0.56663,1.41295,0.00026,0.00026,0.00026
42,1609.05,1.03328,0.5273,1.16475,0.94619,0.92902,0.96162,0.59205,1.34066,0.57254,1.40803,0.00023525,0.00023525,0.00023525
43,1646.83,1.00207,0.51132,1.14372,0.96743,0.91205,0.95895,0.59489,1.33896,0.55996,1.42243,0.0002105,0.0002105,0.0002105
44,1684.76,0.97844,0.49487,1.1354,0.97358,0.92387,0.96598,0.59417,1.3364,0.54967,1.42363,0.00018575,0.00018575,0.00018575
45,1722.75,0.96568,0.48394,1.12525,0.97449,0.9106,0.96,0.59685,1.33724,0.552,1.43415,0.000161,0.000161,0.000161
46,1760.81,0.94803,0.47243,1.10556,0.9658,0.9231,0.95826,0.59417,1.34657,0.55301,1.43085,0.00013625,0.00013625,0.00013625
47,1798.34,0.93721,0.46744,1.10488,0.98034,0.91283,0.96221,0.59713,1.33776,0.55335,1.42135,0.0001115,0.0001115,0.0001115
48,1836.04,0.92128,0.45806,1.09707,0.98295,0.91197,0.96247,0.60138,1.3362,0.5501,1.42297,8.675e-05,8.675e-05,8.675e-05
49,1873.91,0.90219,0.45051,1.08619,0.96699,0.91894,0.96104,0.59735,1.33496,0.55225,1.43053,6.2e-05,6.2e-05,6.2e-05
50,1912.19,0.89898,0.44896,1.08241,0.96605,0.92365,0.96098,0.60305,1.33307,0.54995,1.4258,3.725e-05,3.725e-05,3.725e-05
