epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.584,2.03994,2.91817,2.09864,0.31012,0.30036,0.17345,0.05531,2.21661,5.70794,2.52197,0.000416046,0.000416046,0.000416046
2,446.238,2.2041,2.9686,2.29787,0.26234,0.21722,0.15419,0.0527,2.14444,2.85221,2.37846,0.000816225,0.000816225,0.000816225
3,665.231,2.10653,2.70726,2.20322,0.42889,0.39405,0.41047,0.17064,2.00855,2.16106,2.25162,0.0011999,0.0011999,0.0011999
4,883.596,1.99625,2.45456,2.11299,0.5267,0.44696,0.48874,0.22166,1.81727,1.92087,2.11477,0.00117575,0.00117575,0.00117575
5,1101.88,1.89838,2.22696,2.04738,0.59549,0.56618,0.61162,0.27636,1.78912,1.71023,2.07222,0.001151,0.001151,0.001151
6,1320.32,1.81348,2.02733,1.95801,0.67668,0.62618,0.71017,0.33355,1.68633,1.5114,2.01737,0.00112625,0.00112625,0.00112625
7,1540.13,1.75924,1.87277,1.92055,0.75556,0.6798,0.7741,0.39511,1.60955,1.37948,1.91973,0.0011015,0.0011015,0.0011015
8,1759.73,1.70203,1.73201,1.87729,0.77709,0.75441,0.80153,0.4201,1.58031,1.29488,1.90521,0.00107675,0.00107675,0.00107675
9,1979.13,1.66535,1.61594,1.82762,0.86207,0.77091,0.86248,0.45829,1.52477,1.12796,1.82873,0.001052,0.001052,0.001052
10,2198.91,1.64761,1.53793,1.81481,0.80461,0.75466,0.83713,0.45334,1.53839,1.1373,1.84478,0.00102725,0.00102725,0.00102725
11,2417.97,1.5996,1.44318,1.77131,0.87436,0.78972,0.8695,0.46948,1.56078,1.06718,1.8802,0.0010025,0.0010025,0.0010025
12,2637.63,1.55422,1.36483,1.74552,0.91948,0.82472,0.91397,0.50753,1.49648,0.91905,1.77865,0.00097775,0.00097775,0.00097775
13,2857.25,1.54315,1.30626,1.72845,0.90002,0.7927,0.89165,0.49835,1.50044,0.95636,1.796,0.000953,0.000953,0.000953
14,3076.61,1.50399,1.23939,1.68609,0.87965,0.83615,0.90964,0.51699,1.5004,0.88712,1.78373,0.00092825,0.00092825,0.00092825
15,3296.2,1.49094,1.19629,1.67326,0.86386,0.84134,0.89919,0.51808,1.45318,0.88701,1.75861,0.0009035,0.0009035,0.0009035
16,3515.94,1.46407,1.14405,1.65273,0.93169,0.85332,0.93161,0.52955,1.45368,0.81915,1.76747,0.00087875,0.00087875,0.00087875
17,3735.41,1.43503,1.11061,1.62773,0.87024,0.83382,0.89997,0.52306,1.4437,0.82818,1.72939,0.000854,0.000854,0.000854
18,3954.68,1.39256,1.06204,1.59465,0.89359,0.88571,0.93105,0.54012,1.42238,0.76914,1.72861,0.00082925,0.00082925,0.00082925
19,4174.82,1.3932,1.05213,1.59668,0.93263,0.84759,0.92446,0.54208,1.41895,0.77317,1.70818,0.0008045,0.0008045,0.0008045
20,4394.64,1.35338,1.00324,1.56665,0.87496,0.88412,0.93105,0.54141,1.44369,0.76683,1.74057,0.00077975,0.00077975,0.00077975
21,4614.95,1.3343,0.9745,1.55213,0.94611,0.87589,0.94767,0.55361,1.41388,0.73524,1.71878,0.000755,0.000755,0.000755
22,4834.02,1.31025,0.93395,1.53249,0.92526,0.87382,0.9398,0.56096,1.42147,0.70978,1.73449,0.00073025,0.00073025,0.00073025
23,5053.44,1.29184,0.92179,1.51715,0.94797,0.87249,0.94187,0.55881,1.39224,0.68905,1.70438,0.0007055,0.0007055,0.0007055
24,5273.3,1.267,0.89835,1.49674,0.9361,0.88694,0.94418,0.55998,1.39447,0.6931,1.71232,0.00068075,0.00068075,0.00068075
25,5492.02,1.24607,0.86683,1.48883,0.94857,0.85303,0.94418,0.55959,1.40149,0.68436,1.70612,0.000656,0.000656,0.000656
26,5711.71,1.23927,0.84315,1.48216,0.93987,0.91541,0.95746,0.5733,1.37135,0.64263,1.71888,0.00063125,0.00063125,0.00063125
27,5931.66,1.21461,0.80918,1.45224,0.95947,0.88995,0.95374,0.5746,1.38029,0.64571,1.70168,0.0006065,0.0006065,0.0006065
28,6151.55,1.19729,0.78487,1.44067,0.93857,0.89331,0.95379,0.57531,1.37345,0.63802,1.68457,0.00058175,0.00058175,0.00058175
29,6371.61,1.15513,0.75547,1.4088,0.9356,0.9135,0.95149,0.57138,1.37058,0.62952,1.68388,0.000557,0.000557,0.000557
30,6591.11,1.15306,0.76472,1.40708,0.94613,0.91807,0.95818,0.58072,1.36109,0.60817,1.67186,0.00053225,0.00053225,0.00053225
31,6810.93,1.13051,0.73146,1.39152,0.94916,0.89685,0.95205,0.58098,1.38244,0.59593,1.70781,0.0005075,0.0005075,0.0005075
32,7030.7,1.10175,0.70947,1.37178,0.94941,0.93505,0.96419,0.57976,1.38012,0.57888,1.72252,0.00048275,0.00048275,0.00048275
