epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.912,1.95675,2.28387,2.00827,0.42295,0.36511,0.40797,0.15729,2.00352,2.57155,2.15318,0.000416046,0.000416046,0.000416046
2,290.499,2.00697,2.36962,2.06514,0.3858,0.42854,0.34837,0.13061,1.87581,2.23278,2.11766,0.000816225,0.000816225,0.000816225
3,430.012,2.00857,2.33366,2.07444,0.49716,0.54441,0.50432,0.20362,1.97387,2.0886,2.17638,0.0011999,0.0011999,0.0011999
4,569.331,1.94019,2.16924,2.00887,0.67661,0.58414,0.6327,0.2959,1.81142,1.63638,2.04377,0.00117575,0.00117575,0.00117575
5,708.738,1.86693,2.0408,1.96412,0.68759,0.64243,0.7026,0.31554,1.71064,1.53352,1.91474,0.001151,0.001151,0.001151
6,848.238,1.78605,1.84178,1.88277,0.77801,0.67415,0.75864,0.37229,1.66732,1.38367,1.87521,0.00112625,0.00112625,0.00112625
7,987.563,1.73397,1.70742,1.83397,0.79706,0.73702,0.81631,0.41935,1.64268,1.23123,1.88514,0.0011015,0.0011015,0.0011015
8,1127.17,1.69082,1.58894,1.79699,0.77565,0.715,0.80486,0.40864,1.62268,1.25919,1.86878,0.00107675,0.00107675,0.00107675
9,1266.41,1.6521,1.51255,1.7558,0.80926,0.80139,0.87488,0.45117,1.59004,1.05614,1.81483,0.001052,0.001052,0.001052
10,1405.41,1.63624,1.40882,1.73776,0.89556,0.79846,0.87974,0.46187,1.57851,1.01516,1.78742,0.00102725,0.00102725,0.00102725
11,1544.74,1.58413,1.33712,1.70581,0.88132,0.8037,0.88509,0.47862,1.53113,0.97476,1.76196,0.0010025,0.0010025,0.0010025
12,1684.32,1.54427,1.26504,1.67579,0.88622,0.83744,0.90525,0.49535,1.5004,0.90096,1.75015,0.00097775,0.00097775,0.00097775
13,1823.49,1.5307,1.23431,1.65813,0.87932,0.80436,0.89275,0.48852,1.54806,0.93737,1.78101,0.000953,0.000953,0.000953
14,1962.67,1.49574,1.15984,1.6331,0.91113,0.8686,0.92918,0.5074,1.51217,0.85173,1.71599,0.00092825,0.00092825,0.00092825
15,2101.94,1.48081,1.12015,1.61413,0.94278,0.87815,0.93726,0.53206,1.45597,0.79469,1.67143,0.0009035,0.0009035,0.0009035
16,2241.14,1.44523,1.08805,1.57002,0.87474,0.87093,0.9152,0.51467,1.48818,0.78395,1.71071,0.00087875,0.00087875,0.00087875
17,2380.32,1.42961,1.02812,1.56702,0.91024,0.8574,0.92088,0.53103,1.43709,0.79134,1.66314,0.000854,0.000854,0.000854
18,2519.67,1.40233,0.99736,1.53532,0.89215,0.89645,0.94072,0.53998,1.43444,0.74964,1.66826,0.00082925,0.00082925,0.00082925
19,2658.68,1.39011,0.99316,1.53885,0.92928,0.86384,0.92007,0.53226,1.41826,0.7487,1.6452,0.0008045,0.0008045,0.0008045
20,2797.84,1.36792,0.96176,1.51412,0.92242,0.87144,0.94115,0.54987,1.42076,0.71365,1.66286,0.00077975,0.00077975,0.00077975
21,2937.19,1.33545,0.92167,1.49328,0.94287,0.85233,0.93282,0.53635,1.45525,0.75644,1.68425,0.000755,0.000755,0.000755
22,3076.58,1.32807,0.88911,1.4804,0.94695,0.86621,0.94185,0.55164,1.41018,0.69293,1.63784,0.00073025,0.00073025,0.00073025
23,3215.96,1.31201,0.88888,1.48174,0.93148,0.89484,0.94613,0.56049,1.41554,0.67643,1.64757,0.0007055,0.0007055,0.0007055
24,3355.25,1.28,0.86163,1.45594,0.9073,0.89088,0.92611,0.54989,1.3958,0.69623,1.63911,0.00068075,0.00068075,0.00068075
25,3494.42,1.26913,0.82596,1.4473,0.92764,0.9229,0.95971,0.56739,1.3696,0.63764,1.61393,0.000656,0.000656,0.000656
26,3633.91,1.24981,0.81225,1.43876,0.93509,0.9293,0.95561,0.57364,1.35728,0.61167,1.61984,0.00063125,0.00063125,0.00063125
27,3773.3,1.22738,0.79046,1.40869,0.94796,0.91105,0.95966,0.58181,1.35446,0.61463,1.61661,0.0006065,0.0006065,0.0006065
28,3912.47,1.22314,0.77354,1.41299,0.90671,0.92055,0.95,0.57897,1.37329,0.62085,1.62059,0.00058175,0.00058175,0.00058175
29,4051.67,1.18154,0.73641,1.383,0.94807,0.91089,0.95898,0.58273,1.34194,0.60116,1.60933,0.000557,0.000557,0.000557
30,4191.25,1.17787,0.7491,1.3795,0.94409,0.91191,0.95162,0.58613,1.36277,0.59197,1.62,0.00053225,0.00053225,0.00053225
