epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,337.342,2.22132,3.42639,2.3336,0.42195,0.05276,0.0293,0.00888,2.87042,4.08618,3.09143,0.000416356,0.000416356,0.000416356
2,650.997,2.52148,3.75831,2.57625,0.04943,0.01199,0.00903,0.00344,3.06189,4.82472,3.00961,0.000816529,0.000816529,0.000816529
3,956.671,2.4678,3.69971,2.50369,0.39368,0.15741,0.10895,0.04053,2.32447,3.1486,2.58325,0.0012002,0.0012002,0.0012002
4,1259.33,2.34303,3.49558,2.43883,0.2808,0.28809,0.2007,0.07587,2.12408,2.58151,2.47606,0.00117575,0.00117575,0.00117575
5,1561.6,2.22378,3.23561,2.35306,0.36088,0.26409,0.22128,0.08835,2.10144,2.62927,2.36802,0.001151,0.001151,0.001151
6,1864.09,2.14247,3.00073,2.28082,0.43503,0.37626,0.37845,0.16148,1.96968,2.19554,2.31238,0.00112625,0.00112625,0.00112625
7,2166.51,2.05883,2.77098,2.22059,0.42122,0.46009,0.41131,0.17094,1.93197,2.04084,2.30082,0.0011015,0.0011015,0.0011015
8,2469.6,2.00667,2.60275,2.16091,0.5138,0.43923,0.44801,0.20187,1.85693,1.99635,2.18959,0.00107675,0.00107675,0.00107675
9,2771.25,1.94509,2.48463,2.12745,0.50462,0.52896,0.52324,0.24221,1.76095,1.80863,2.13351,0.001052,0.001052,0.001052
10,3072.83,1.8915,2.33923,2.08442,0.5487,0.57798,0.57039,0.26918,1.67215,1.80634,2.05074,0.00102725,0.00102725,0.00102725
11,3374.26,1.85984,2.21482,2.05686,0.63616,0.57958,0.65202,0.32053,1.69917,1.59327,2.04282,0.0010025,0.0010025,0.0010025
12,3680.87,1.81925,2.12128,2.02052,0.68454,0.64715,0.7024,0.34991,1.67186,1.52655,2.05906,0.00097775,0.00097775,0.00097775
13,3986.81,1.80536,2.06924,2.01459,0.70285,0.66497,0.72425,0.366,1.61213,1.48458,2.0007,0.000953,0.000953,0.000953
14,4293.01,1.7833,1.98306,1.99478,0.80018,0.68715,0.80463,0.39619,1.61212,1.32767,1.99508,0.00092825,0.00092825,0.00092825
15,4598.68,1.73987,1.88264,1.95048,0.81107,0.70582,0.79956,0.40727,1.6126,1.30739,1.98969,0.0009035,0.0009035,0.0009035
16,4904.32,1.71034,1.83281,1.91971,0.77649,0.72649,0.78498,0.4033,1.58718,1.29364,1.96122,0.00087875,0.00087875,0.00087875
17,5209.66,1.70152,1.7488,1.91922,0.77777,0.78391,0.82984,0.43088,1.58155,1.22506,1.97722,0.000854,0.000854,0.000854
18,5515.59,1.67268,1.70485,1.89161,0.77624,0.7711,0.83122,0.44106,1.53284,1.22403,1.91412,0.00082925,0.00082925,0.00082925
19,5821.34,1.65269,1.6199,1.87164,0.87386,0.80332,0.88111,0.46067,1.5559,1.06901,1.92371,0.0008045,0.0008045,0.0008045
20,6128.12,1.63016,1.57151,1.85245,0.87929,0.80131,0.87641,0.46252,1.52307,1.06747,1.90503,0.00077975,0.00077975,0.00077975
21,6433.52,1.60738,1.50625,1.82905,0.82784,0.78455,0.86366,0.47111,1.53868,1.05532,1.90951,0.000755,0.000755,0.000755
22,6739.37,1.56466,1.44704,1.79972,0.90077,0.81293,0.89687,0.50238,1.50797,0.94662,1.89319,0.00073025,0.00073025,0.00073025
23,7045.17,1.58573,1.45657,1.80688,0.89984,0.81826,0.89381,0.50206,1.45728,0.96697,1.82882,0.0007055,0.0007055,0.0007055
24,7350.58,1.56294,1.39717,1.79182,0.8558,0.80131,0.88559,0.49524,1.48257,0.96647,1.8572,0.00068075,0.00068075,0.00068075
25,7656.25,1.52949,1.34329,1.75564,0.87334,0.84643,0.90978,0.51939,1.449,0.90816,1.82105,0.000656,0.000656,0.000656
26,7961.79,1.51691,1.33533,1.7463,0.90067,0.843,0.91753,0.52827,1.43554,0.88528,1.81352,0.00063125,0.00063125,0.00063125
27,8267.13,1.48937,1.28827,1.7301,0.90133,0.84661,0.91672,0.52881,1.43768,0.86167,1.8257,0.0006065,0.0006065,0.0006065
28,8572.31,1.49902,1.2858,1.73027,0.93079,0.83032,0.91112,0.53105,1.42494,0.88967,1.79755,0.00058175,0.00058175,0.00058175
29,8880.31,1.48306,1.2312,1.72957,0.90339,0.84811,0.92246,0.5344,1.41392,0.83212,1.77827,0.000557,0.000557,0.000557
30,9188.96,1.45369,1.18672,1.70078,0.88529,0.85954,0.92236,0.53645,1.4298,0.82386,1.80327,0.00053225,0.00053225,0.00053225
31,9497.08,1.42355,1.15786,1.67998,0.91682,0.88351,0.93264,0.54495,1.40713,0.79248,1.76466,0.0005075,0.0005075,0.0005075
32,9805.18,1.42326,1.13409,1.65948,0.94615,0.8879,0.95003,0.56573,1.3871,0.73089,1.77223,0.00048275,0.00048275,0.00048275
33,10113.2,1.40361,1.12057,1.66079,0.9278,0.88307,0.94511,0.55674,1.39206,0.7513,1.77008,0.000458,0.000458,0.000458
34,10420.8,1.39369,1.08811,1.64631,0.9117,0.89014,0.93368,0.55249,1.41207,0.7529,1.80336,0.00043325,0.00043325,0.00043325
35,10728.4,1.3607,1.05172,1.61624,0.9182,0.90263,0.9417,0.56469,1.35888,0.72949,1.72217,0.0004085,0.0004085,0.0004085
36,11034.7,1.35143,1.00955,1.60541,0.95124,0.88492,0.94668,0.56054,1.38902,0.73438,1.79094,0.00038375,0.00038375,0.00038375
