epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.212,1.9004,2.66648,1.93529,0.43525,0.31401,0.31614,0.13167,1.93236,3.21008,2.06836,0.000416046,0.000416046,0.000416046
2,244.653,2.06522,2.55067,2.10933,0.36023,0.35404,0.30761,0.12224,1.96717,2.49701,2.21542,0.000816225,0.000816225,0.000816225
3,360.84,2.05299,2.48599,2.09289,0.50295,0.40063,0.44499,0.18132,1.98073,2.05015,2.19669,0.0011999,0.0011999,0.0011999
4,477.07,1.96399,2.24857,2.02855,0.57813,0.50136,0.5658,0.26775,1.73456,1.81309,1.98953,0.00117575,0.00117575,0.00117575
5,593.212,1.87752,2.0687,1.95198,0.66365,0.66178,0.70914,0.30785,1.84023,1.5204,2.03381,0.001151,0.001151,0.001151
6,709.531,1.80126,1.87106,1.87373,0.69168,0.71518,0.75034,0.38099,1.66429,1.35183,1.8775,0.00112625,0.00112625,0.00112625
7,825.891,1.74456,1.72702,1.83498,0.82541,0.75524,0.83894,0.44116,1.59045,1.16243,1.79038,0.0011015,0.0011015,0.0011015
8,942.337,1.69368,1.59389,1.7878,0.82414,0.7629,0.8282,0.41286,1.60341,1.17414,1.81947,0.00107675,0.00107675,0.00107675
9,1058.4,1.65407,1.52512,1.74655,0.81891,0.79018,0.86533,0.45424,1.55393,1.10375,1.7659,0.001052,0.001052,0.001052
10,1174.66,1.63559,1.4316,1.72604,0.87362,0.80732,0.8757,0.46597,1.57887,1.0055,1.75342,0.00102725,0.00102725,0.00102725
11,1291.01,1.59242,1.34075,1.69244,0.87902,0.78928,0.87283,0.47367,1.57721,0.96973,1.79231,0.0010025,0.0010025,0.0010025
12,1407.84,1.55689,1.29245,1.66834,0.89515,0.82346,0.90015,0.49489,1.49189,0.94839,1.73741,0.00097775,0.00097775,0.00097775
13,1523.84,1.54167,1.2371,1.64792,0.83865,0.84573,0.91207,0.49411,1.54184,0.88907,1.76837,0.000953,0.000953,0.000953
14,1640.18,1.50307,1.19641,1.62351,0.90963,0.85045,0.92347,0.52589,1.43483,0.83492,1.66683,0.00092825,0.00092825,0.00092825
15,1756.36,1.49394,1.13361,1.60872,0.91224,0.8523,0.93868,0.5279,1.46604,0.81066,1.68608,0.0009035,0.0009035,0.0009035
16,1872.48,1.45457,1.10325,1.56837,0.91499,0.84896,0.92846,0.52547,1.47436,0.77028,1.69017,0.00087875,0.00087875,0.00087875
17,1988.71,1.43622,1.06385,1.56371,0.90275,0.88142,0.93091,0.53599,1.44994,0.74759,1.6755,0.000854,0.000854,0.000854
18,2105.21,1.39747,1.01131,1.52871,0.91469,0.89049,0.95484,0.5516,1.39759,0.73684,1.64169,0.00082925,0.00082925,0.00082925
19,2221.31,1.40469,0.99729,1.5295,0.91424,0.83731,0.91632,0.5413,1.39226,0.75244,1.60781,0.0008045,0.0008045,0.0008045
20,2337.45,1.37188,0.9548,1.50482,0.94213,0.89124,0.95377,0.54484,1.43316,0.68015,1.65062,0.00077975,0.00077975,0.00077975
21,2453.83,1.35841,0.94516,1.50275,0.93322,0.88239,0.94055,0.55185,1.40379,0.69439,1.63168,0.000755,0.000755,0.000755
22,2570.06,1.33143,0.90439,1.47343,0.94249,0.88259,0.95609,0.56526,1.41048,0.67431,1.63359,0.00073025,0.00073025,0.00073025
23,2686.27,1.31873,0.91296,1.47431,0.9405,0.88699,0.94277,0.5595,1.3946,0.67388,1.62879,0.0007055,0.0007055,0.0007055
24,2802.42,1.30119,0.87673,1.45788,0.92288,0.90635,0.95035,0.56007,1.38395,0.66212,1.60016,0.00068075,0.00068075,0.00068075
25,2918.63,1.27354,0.84352,1.44031,0.94256,0.90366,0.95144,0.55298,1.42324,0.65009,1.6374,0.000656,0.000656,0.000656
26,3034.82,1.26118,0.83056,1.43349,0.92792,0.89806,0.94744,0.57031,1.38246,0.63939,1.6031,0.00063125,0.00063125,0.00063125
27,3150.87,1.24315,0.8066,1.40898,0.93568,0.90887,0.9499,0.57327,1.39482,0.62553,1.62916,0.0006065,0.0006065,0.0006065
28,3267.01,1.22869,0.78355,1.40003,0.95794,0.89764,0.961,0.58659,1.35636,0.60958,1.59801,0.00058175,0.00058175,0.00058175
29,3383.62,1.17692,0.73603,1.36588,0.95272,0.90664,0.96401,0.58424,1.34469,0.59658,1.58466,0.000557,0.000557,0.000557
30,3498.6,1.19055,0.75705,1.3752,0.95127,0.91063,0.95811,0.58656,1.36224,0.57954,1.60399,0.00053225,0.00053225,0.00053225
31,3613.47,1.17212,0.73714,1.3617,0.95767,0.92062,0.95808,0.5913,1.35748,0.57297,1.60731,0.0005075,0.0005075,0.0005075
32,3728.67,1.14492,0.71193,1.33919,0.94838,0.9224,0.95523,0.58287,1.36652,0.58111,1.6269,0.00048275,0.00048275,0.00048275
33,3843.34,1.133,0.70453,1.3323,0.94499,0.92731,0.96183,0.5974,1.34551,0.57534,1.61082,0.000458,0.000458,0.000458
34,3958.67,1.1082,0.68631,1.31031,0.95669,0.93275,0.95983,0.59501,1.34977,0.55449,1.60304,0.00043325,0.00043325,0.00043325
35,4073.81,1.09676,0.66768,1.30396,0.95282,0.93072,0.96217,0.59222,1.34207,0.55693,1.61251,0.0004085,0.0004085,0.0004085
36,4188.85,1.08645,0.64929,1.28276,0.95463,0.9342,0.96611,0.5923,1.3563,0.55219,1.6227,0.00038375,0.00038375,0.00038375
37,4303.85,1.06511,0.64288,1.27959,0.95953,0.94163,0.96604,0.59517,1.34737,0.54547,1.61592,0.000359,0.000359,0.000359
38,4418.79,1.05144,0.62929,1.27087,0.95146,0.92564,0.96018,0.60953,1.34472,0.54944,1.60295,0.00033425,0.00033425,0.00033425
39,4534.13,1.02746,0.61172,1.25062,0.96223,0.92725,0.96068,0.60093,1.3398,0.53369,1.61257,0.0003095,0.0003095,0.0003095
