epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.479,1.85308,2.87305,1.92454,0.45851,0.50595,0.47469,0.19902,1.84782,2.20475,2.11374,0.000416046,0.000416046,0.000416046
2,192.524,1.91386,2.20687,1.96971,0.61985,0.47244,0.55798,0.25035,1.74609,2.17508,2.00331,0.000816225,0.000816225,0.000816225
3,282.656,1.92035,2.15616,1.97898,0.81854,0.61882,0.73757,0.36235,1.69494,1.46851,1.91297,0.0011999,0.0011999,0.0011999
4,372.655,1.87576,2.02243,1.93963,0.53779,0.56011,0.59622,0.29006,1.77564,1.80313,2.00686,0.00117575,0.00117575,0.00117575
5,461.767,1.79676,1.84571,1.88545,0.7609,0.6447,0.7208,0.33876,1.7172,1.43838,1.95175,0.001151,0.001151,0.001151
6,551.114,1.72479,1.68142,1.80254,0.78687,0.75736,0.8176,0.42532,1.60227,1.11686,1.83239,0.00112625,0.00112625,0.00112625
7,640.03,1.68995,1.55586,1.78045,0.82175,0.75673,0.83613,0.45027,1.55361,1.06677,1.77682,0.0011015,0.0011015,0.0011015
8,730.109,1.62944,1.44093,1.73058,0.87328,0.78727,0.86914,0.46304,1.53334,1.00691,1.76313,0.00107675,0.00107675,0.00107675
9,820.226,1.61806,1.39616,1.70264,0.83948,0.81806,0.87644,0.46834,1.52143,0.97038,1.79117,0.001052,0.001052,0.001052
10,910.297,1.61267,1.32208,1.69169,0.89878,0.8127,0.89632,0.48521,1.51338,0.88006,1.74383,0.00102725,0.00102725,0.00102725
11,1000.47,1.54573,1.23305,1.64606,0.90591,0.85937,0.91636,0.49601,1.52908,0.82081,1.74383,0.0010025,0.0010025,0.0010025
12,1090.2,1.53461,1.18879,1.63736,0.91898,0.83383,0.9281,0.53398,1.45077,0.77212,1.66506,0.00097775,0.00097775,0.00097775
13,1180.72,1.50204,1.13569,1.61188,0.91872,0.83859,0.92721,0.53686,1.43805,0.76759,1.6485,0.000953,0.000953,0.000953
14,1270.5,1.46376,1.09843,1.58242,0.92052,0.85623,0.9302,0.53162,1.43728,0.75115,1.6551,0.00092825,0.00092825,0.00092825
15,1360.35,1.45932,1.07634,1.5645,0.92988,0.85743,0.93415,0.54582,1.38147,0.7382,1.59784,0.0009035,0.0009035,0.0009035
16,1449.68,1.42388,1.03015,1.52632,0.94018,0.8716,0.94346,0.5506,1.40523,0.68953,1.61986,0.00087875,0.00087875,0.00087875
17,1539.29,1.41829,0.97534,1.52803,0.9633,0.91427,0.96117,0.56777,1.38245,0.645,1.59908,0.000854,0.000854,0.000854
18,1628.94,1.38067,0.95936,1.49002,0.9243,0.89362,0.94192,0.56875,1.35939,0.66838,1.57898,0.00082925,0.00082925,0.00082925
19,1718.84,1.37536,0.94616,1.50175,0.93492,0.89642,0.94323,0.56725,1.34528,0.65744,1.56443,0.0008045,0.0008045,0.0008045
20,1808.77,1.35742,0.91263,1.48102,0.9256,0.91926,0.94786,0.5553,1.42067,0.62045,1.61759,0.00077975,0.00077975,0.00077975
21,1898.73,1.34503,0.89981,1.46658,0.94192,0.87328,0.9493,0.55343,1.40762,0.66428,1.62429,0.000755,0.000755,0.000755
22,1988.4,1.32029,0.85821,1.44509,0.94953,0.91352,0.96361,0.58076,1.3719,0.60905,1.58918,0.00073025,0.00073025,0.00073025
23,2078.81,1.31808,0.85702,1.45219,0.94994,0.90756,0.95625,0.57017,1.35656,0.60042,1.57478,0.0007055,0.0007055,0.0007055
24,2168.51,1.28834,0.83465,1.42752,0.94611,0.89854,0.959,0.58389,1.33665,0.59006,1.54407,0.00068075,0.00068075,0.00068075
25,2258.63,1.27418,0.81367,1.42032,0.92782,0.91485,0.96097,0.57825,1.35044,0.58983,1.57067,0.000656,0.000656,0.000656
26,2348.47,1.27393,0.80919,1.42425,0.95553,0.93077,0.97142,0.58042,1.35918,0.56585,1.58821,0.00063125,0.00063125,0.00063125
27,2438.16,1.25234,0.76804,1.3958,0.97594,0.92982,0.96585,0.579,1.38964,0.56016,1.60386,0.0006065,0.0006065,0.0006065
28,2527.42,1.24562,0.7552,1.40078,0.96879,0.92354,0.96426,0.59684,1.349,0.5514,1.56206,0.00058175,0.00058175,0.00058175
29,2617.47,1.18869,0.71563,1.3583,0.97615,0.93684,0.96435,0.60566,1.31865,0.52915,1.54925,0.000557,0.000557,0.000557
30,2710.38,1.20145,0.73498,1.36287,0.9692,0.92239,0.96763,0.59846,1.33597,0.54152,1.56834,0.00053225,0.00053225,0.00053225
31,2802.09,1.19432,0.7144,1.35419,0.97439,0.93155,0.97111,0.61797,1.30278,0.51233,1.53551,0.0005075,0.0005075,0.0005075
32,2893.14,1.16071,0.6965,1.32895,0.9666,0.94416,0.97224,0.61217,1.29721,0.5127,1.54434,0.00048275,0.00048275,0.00048275
33,2983.61,1.15847,0.68247,1.3297,0.98236,0.93229,0.97543,0.6081,1.3036,0.51436,1.5409,0.000458,0.000458,0.000458
34,3075.06,1.12381,0.664,1.30401,0.98308,0.91612,0.97075,0.60935,1.30377,0.52003,1.52756,0.00043325,0.00043325,0.00043325
