epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.896,1.88228,3.64488,1.87131,0.60989,0.49784,0.55344,0.26515,1.70201,1.95408,1.83877,0.000416046,0.000416046,0.000416046
2,191.283,1.8819,2.50299,1.8794,0.59069,0.57709,0.58515,0.27632,1.82513,1.7176,1.94922,0.000816225,0.000816225,0.000816225
3,279.631,1.86508,2.18908,1.87,0.67934,0.5145,0.61457,0.30291,1.70439,1.71024,1.90019,0.0011999,0.0011999,0.0011999
4,367.16,1.84473,2.01916,1.86206,0.77086,0.6978,0.77015,0.38618,1.60883,1.30366,1.80073,0.00117575,0.00117575,0.00117575
5,454.237,1.78242,1.85737,1.82361,0.73397,0.63655,0.71087,0.32629,1.76533,1.38619,1.88684,0.001151,0.001151,0.001151
6,541.949,1.72076,1.68073,1.74924,0.80713,0.72263,0.80784,0.41641,1.61555,1.14337,1.76224,0.00112625,0.00112625,0.00112625
7,628.759,1.68814,1.58324,1.72682,0.85563,0.73203,0.84433,0.45257,1.54984,1.06283,1.74127,0.0011015,0.0011015,0.0011015
8,715.199,1.6433,1.49691,1.684,0.85785,0.77989,0.86082,0.4714,1.51765,1.00977,1.71476,0.00107675,0.00107675,0.00107675
9,802.018,1.62035,1.41872,1.65795,0.87861,0.77695,0.87763,0.48775,1.53468,0.92475,1.70625,0.001052,0.001052,0.001052
10,888.712,1.6124,1.37011,1.64761,0.89565,0.78937,0.88689,0.5,1.46032,0.93804,1.65952,0.00102725,0.00102725,0.00102725
11,974.791,1.57759,1.29452,1.61364,0.87078,0.83192,0.89603,0.49428,1.48791,0.84234,1.66551,0.0010025,0.0010025,0.0010025
12,1061.35,1.55141,1.24137,1.59387,0.88961,0.81643,0.90694,0.50519,1.46666,0.83915,1.63813,0.00097775,0.00097775,0.00097775
13,1147.38,1.54597,1.2233,1.59011,0.87609,0.79269,0.89348,0.50899,1.4649,0.85749,1.64994,0.000953,0.000953,0.000953
14,1233.26,1.50302,1.16498,1.56465,0.8849,0.82636,0.91575,0.52094,1.43693,0.82212,1.61927,0.00092825,0.00092825,0.00092825
15,1319.73,1.49731,1.14498,1.54494,0.90037,0.82432,0.90876,0.52343,1.43374,0.79145,1.62038,0.0009035,0.0009035,0.0009035
16,1405.71,1.48569,1.10617,1.53084,0.92649,0.85292,0.92082,0.53146,1.44952,0.72856,1.63741,0.00087875,0.00087875,0.00087875
17,1491.4,1.46094,1.06952,1.51837,0.90394,0.8676,0.92446,0.55411,1.39379,0.72078,1.5828,0.000854,0.000854,0.000854
18,1577.85,1.43595,1.03344,1.48969,0.87565,0.85398,0.91917,0.52804,1.41941,0.72801,1.6036,0.00082925,0.00082925,0.00082925
19,1664.14,1.44299,1.02977,1.49952,0.92828,0.86416,0.92784,0.55335,1.36874,0.68614,1.56489,0.0008045,0.0008045,0.0008045
20,1749.63,1.42128,1.0013,1.48413,0.93259,0.83834,0.92336,0.53105,1.4438,0.70896,1.61,0.00077975,0.00077975,0.00077975
