epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,657.376,2.05234,3.81395,2.01479,0.46932,0.42727,0.39513,0.12651,2.17344,3.26159,2.0378,0.00333242,0.00333242,0.00333242
2,1278.09,1.89491,2.61454,1.88904,0.56444,0.46025,0.47726,0.16909,2.14738,2.44858,2.03059,0.00664375,0.00664375,0.00664375
3,1896.44,1.94353,2.41384,1.955,0.60509,0.47715,0.50915,0.20346,2.12623,2.09907,2.01119,0.00993309,0.00993309,0.00993309
4,2514.76,1.94031,2.30917,1.96877,0.63608,0.59302,0.60419,0.22298,2.10259,1.83981,1.97798,0.009901,0.009901,0.009901
5,3135.55,1.85122,2.02717,1.89313,0.72469,0.64185,0.71173,0.30303,1.95879,1.55827,1.85144,0.009868,0.009868,0.009868
6,3755.6,1.79179,1.85797,1.82467,0.80793,0.68606,0.76882,0.35922,1.86273,1.37449,1.7659,0.009835,0.009835,0.009835
7,630.764,1.75395,1.72697,1.78205,0.82327,0.73974,0.80992,0.39054,1.77481,1.24293,1.65984,0.009802,0.009802,0.009802
8,1263.67,1.71837,1.64428,1.75181,0.81642,0.73814,0.79769,0.363,1.86158,1.22222,1.72987,0.009769,0.009769,0.009769
9,1916.16,1.68906,1.5741,1.71302,0.86545,0.78611,0.85644,0.44434,1.67787,1.10202,1.57816,0.009736,0.009736,0.009736
10,2552.21,1.66044,1.51442,1.68673,0.86751,0.79951,0.87227,0.4333,1.744,1.06101,1.60985,0.009703,0.009703,0.009703
11,3172.35,1.64193,1.46274,1.66503,0.88898,0.80091,0.8843,0.45723,1.67169,1.01609,1.56178,0.00967,0.00967,0.00967
12,3791.9,1.62438,1.4203,1.65049,0.90988,0.82174,0.90067,0.48152,1.6096,0.95727,1.51776,0.009637,0.009637,0.009637
13,4412.19,1.61257,1.40712,1.64399,0.88145,0.83799,0.90069,0.48416,1.60435,0.9432,1.51988,0.009604,0.009604,0.009604
14,5031.88,1.60147,1.36395,1.63216,0.90957,0.84408,0.91281,0.47441,1.64959,0.90757,1.52924,0.009571,0.009571,0.009571
15,5652.99,1.58988,1.33011,1.61294,0.91533,0.8438,0.90884,0.48467,1.62502,0.89052,1.51719,0.009538,0.009538,0.009538
16,6274.17,1.58229,1.30765,1.61027,0.92889,0.84997,0.91773,0.49269,1.63014,0.87593,1.51033,0.009505,0.009505,0.009505
17,6893.99,1.56644,1.27844,1.5944,0.93077,0.86101,0.9253,0.50137,1.6099,0.85943,1.49604,0.009472,0.009472,0.009472
18,7514.31,1.56356,1.26899,1.58998,0.91626,0.86842,0.92381,0.50911,1.57503,0.84464,1.47643,0.009439,0.009439,0.009439
19,8135.05,1.54379,1.24196,1.57534,0.92993,0.87236,0.93074,0.52522,1.54319,0.80944,1.45148,0.009406,0.009406,0.009406
20,8755.53,1.543,1.24617,1.57619,0.93803,0.87956,0.9345,0.52666,1.54406,0.79654,1.44957,0.009373,0.009373,0.009373
21,9375.86,1.54158,1.21328,1.56151,0.93411,0.88052,0.93277,0.52995,1.53181,0.79008,1.44105,0.00934,0.00934,0.00934
22,9996.31,1.52717,1.20168,1.55373,0.93041,0.88563,0.93439,0.53042,1.53539,0.77926,1.43898,0.009307,0.009307,0.009307
23,10616.3,1.51916,1.19227,1.55192,0.9332,0.88247,0.93633,0.53682,1.51511,0.76668,1.42628,0.009274,0.009274,0.009274
24,11237.1,1.51395,1.17593,1.54442,0.93723,0.89157,0.94175,0.54208,1.50451,0.74906,1.41839,0.009241,0.009241,0.009241
25,11857.8,1.50784,1.15484,1.53476,0.94232,0.88743,0.94436,0.54323,1.50715,0.74078,1.4159,0.009208,0.009208,0.009208
26,12479,1.50176,1.14589,1.53309,0.93735,0.8955,0.94723,0.54312,1.50335,0.73298,1.41197,0.009175,0.009175,0.009175
27,13101.1,1.49815,1.1373,1.52605,0.93698,0.89554,0.94527,0.5425,1.50508,0.72912,1.41127,0.009142,0.009142,0.009142
28,13722.8,1.49714,1.14501,1.52806,0.93772,0.8951,0.94656,0.54523,1.49931,0.72379,1.4095,0.009109,0.009109,0.009109
29,14343.7,1.48594,1.12886,1.51358,0.94493,0.89265,0.94771,0.54682,1.49011,0.72244,1.4041,0.009076,0.009076,0.009076
30,14964.3,1.47984,1.1119,1.51216,0.94812,0.89387,0.94764,0.5477,1.48828,0.7173,1.40122,0.009043,0.009043,0.009043
31,15585.4,1.48125,1.10392,1.51041,0.95098,0.89459,0.94885,0.55019,1.48423,0.71156,1.39718,0.00901,0.00901,0.00901
32,16206,1.47131,1.09594,1.49946,0.95235,0.89436,0.94954,0.55023,1.48663,0.70606,1.39712,0.008977,0.008977,0.008977
